stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9800,22:40:00,22:40:00,CAPITOL SQUARE,0.0116
2,9759,22:41:01,22:41:01,CAPITOL SQUARE,0.2727
3,9810,22:41:30,22:41:30,CAPITOL SQUARE,0.3969
4,9152,22:42:45,22:42:45,CAPITOL SQUARE,0.7168
5,9984,22:43:32,22:43:32,CAPITOL SQUARE,0.9154
6,9554,22:44:30,22:44:30,CAPITOL SQUARE,1.1621
7,9874,22:44:59,22:44:59,CAPITOL SQUARE,1.2867
8,9750,22:45:56,22:45:56,CAPITOL SQUARE,1.5306
9,9344,22:46:21,22:46:21,CAPITOL SQUARE,1.6398
10,9322,22:46:53,22:46:53,CAPITOL SQUARE,1.7784
11,9172,22:47:45,22:47:45,CAPITOL SQUARE,1.9999
12,9552,22:48:14,22:48:14,CAPITOL SQUARE,2.1256
13,1164,22:49:21,22:49:21,CAPITOL SQUARE,2.4122
14,1938,22:50:01,22:50:01,CAPITOL SQUARE,2.5851
15,1280,22:51:00,22:51:00,CAPITOL SQUARE,2.7976
16,1112,22:51:43,22:51:43,CAPITOL SQUARE,3.0584
17,1846,22:52:14,22:52:14,CAPITOL SQUARE,3.2423
18,1488,22:52:44,22:52:44,CAPITOL SQUARE,3.4229
19,1382,22:53:25,22:53:25,CAPITOL SQUARE,3.6712
20,1350,22:53:56,22:53:56,CAPITOL SQUARE,3.8554
21,1412,22:54:26,22:54:26,CAPITOL SQUARE,4.0378
22,1730,22:55:14,22:55:14,CAPITOL SQUARE,4.3226
23,1650,22:56:00,22:56:00,CAPITOL SQUARE,4.5761
24,1660,22:57:13,22:57:13,CAPITOL SQUARE,4.8236
25,1392,22:57:41,22:57:41,CAPITOL SQUARE,4.9207
26,1214,22:58:55,22:58:55,CAPITOL SQUARE,5.1707
27,1618,23:00:14,23:00:14,CAPITOL SQUARE,5.4385
28,1100,23:01:00,23:01:00,DROP OFFS ONLY,5.5893
