stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6966,6:16:00,6:16:00,WEST TRANSFER: VIA SOUTH RIDGE,0.1307
2,6150,6:17:01,6:17:01,WEST TRANSFER: VIA SOUTH RIDGE,0.4158
3,6392,6:18:12,6:18:12,WEST TRANSFER: VIA SOUTH RIDGE,0.7465
4,6667,6:19:14,6:19:14,WEST TRANSFER: VIA SOUTH RIDGE,1.0343
5,6983,6:20:13,6:20:13,WEST TRANSFER: VIA SOUTH RIDGE,1.3084
6,6261,6:20:38,6:20:38,WEST TRANSFER: VIA SOUTH RIDGE,1.4265
7,6231,6:21:29,6:21:29,WEST TRANSFER: VIA SOUTH RIDGE,1.6644
8,6111,6:22:07,6:22:07,WEST TRANSFER: VIA SOUTH RIDGE,1.8419
9,6673,6:22:50,6:22:50,WEST TRANSFER: VIA SOUTH RIDGE,2.0417
10,6363,6:23:46,6:23:46,WEST TRANSFER: VIA SOUTH RIDGE,2.3006
11,6853,6:25:08,6:25:08,WEST TRANSFER: VIA SOUTH RIDGE,2.6802
12,6529,6:25:47,6:25:47,WEST TRANSFER: VIA SOUTH RIDGE,2.8609
13,6475,6:27:00,6:27:00,WEST TRANSFER: VIA SOUTH RIDGE,3.1743
14,6627,6:27:59,6:27:59,WEST TRANSFER: VIA SOUTH RIDGE,3.4879
15,6207,6:28:52,6:28:52,WEST TRANSFER: VIA SOUTH RIDGE,3.77
16,6489,6:29:53,6:29:53,WEST TRANSFER: VIA SOUTH RIDGE,4.0919
17,6167,6:30:31,6:30:31,WEST TRANSFER: VIA SOUTH RIDGE,4.2968
18,6651,6:31:12,6:31:12,WEST TRANSFER: VIA SOUTH RIDGE,4.5138
19,6653,6:32:03,6:32:03,WEST TRANSFER: VIA SOUTH RIDGE,4.783
20,6901,6:33:03,6:33:03,WEST TRANSFER: VIA SOUTH RIDGE,5.1022
21,6878,6:34:00,6:34:00,WEST TRANSFER: VIA SOUTH RIDGE,5.39
22,6110,6:34:34,6:34:34,WEST TRANSFER: VIA SOUTH RIDGE,5.5646
23,6560,6:35:03,6:35:03,WEST TRANSFER: VIA SOUTH RIDGE,5.7156
24,6582,6:36:09,6:36:09,WEST TRANSFER: VIA SOUTH RIDGE,6.0545
25,6120,6:36:56,6:36:56,WEST TRANSFER: VIA SOUTH RIDGE,6.2965
26,6642,6:37:52,6:37:52,WEST TRANSFER: VIA SOUTH RIDGE,6.5857
27,6318,6:38:28,6:38:28,WEST TRANSFER: VIA SOUTH RIDGE,6.7709
28,6106,6:39:26,6:39:26,WEST TRANSFER,7.0662
29,6894,6:40:00,6:40:00,WEST TRANSFER,7.2207
30,6291,6:40:57,6:40:57,WEST TRANSFER,7.5432
31,6326,6:41:30,6:41:30,WEST TRANSFER,7.7327
32,2392,6:42:28,6:42:28,WEST TRANSFER,8.0604
33,2892,6:43:04,6:43:04,WEST TRANSFER,8.2635
34,2404,6:43:45,6:43:45,WEST TRANSFER,8.4997
35,2230,6:44:19,6:44:19,WEST TRANSFER,8.696
36,2398,6:44:47,6:44:47,WEST TRANSFER,8.857000000000001
37,2630,6:45:20,6:45:20,WEST TRANSFER,9.0478
38,2798,6:46:29,6:46:29,WEST TRANSFER,9.4408
39,6100,6:50:00,6:50:00,DROP OFFS ONLY,10.5953
