stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6441,7:31:00,7:31:00,WEST TRANSFER: VIA TERRACE,0.0254
2,6785,7:31:17,7:31:17,WEST TRANSFER: VIA TERRACE,0.1047
3,6196,7:31:44,7:31:44,WEST TRANSFER: VIA TERRACE,0.2324
4,6325,7:32:44,7:32:44,WEST TRANSFER: VIA TERRACE,0.5108
5,6109,7:33:43,7:33:43,WEST TRANSFER: VIA TERRACE,0.7852
6,6611,7:34:08,7:34:08,WEST TRANSFER: VIA TERRACE,0.9045
7,6543,7:35:28,7:35:28,WEST TRANSFER: VIA TERRACE,1.2775
8,6887,7:36:00,7:36:00,WEST TRANSFER: VIA TERRACE,1.4299
9,6899,7:36:28,7:36:28,WEST TRANSFER: VIA TERRACE,1.5617
10,6891,7:36:57,7:36:57,WEST TRANSFER: VIA TERRACE,1.6979
11,6717,7:37:45,7:37:45,WEST TRANSFER: VIA TERRACE,1.9221
12,6915,7:38:48,7:38:48,WEST TRANSFER: VIA TERRACE,2.217
13,6106,7:39:22,7:39:22,WEST TRANSFER,2.3762
14,6894,7:40:00,7:40:00,WEST TRANSFER,2.5307
15,6291,7:40:57,7:40:57,WEST TRANSFER,2.8531
16,6326,7:41:30,7:41:30,WEST TRANSFER,3.0428
17,2392,7:42:28,7:42:28,WEST TRANSFER,3.3704
18,2892,7:43:04,7:43:04,WEST TRANSFER,3.5736
19,2404,7:43:45,7:43:45,WEST TRANSFER,3.8097
20,2230,7:44:19,7:44:19,WEST TRANSFER,4.006
21,2398,7:44:47,7:44:47,WEST TRANSFER,4.167
22,2630,7:45:20,7:45:20,WEST TRANSFER,4.3578
23,2798,7:46:29,7:46:29,WEST TRANSFER,4.7508
24,6100,7:50:00,7:50:00,DROP OFFS ONLY,5.9052
