stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,2082,7:15:00,7:15:00,MEMORIAL UNION,0.0232
2,2054,7:15:39,7:15:39,MEMORIAL UNION,0.2
3,2039,7:16:49,7:16:49,MEMORIAL UNION,0.5136
4,2061,7:17:04,7:17:04,MEMORIAL UNION,0.5820000000000001
5,2071,7:17:24,7:17:24,MEMORIAL UNION,0.6717
6,2014,7:18:05,7:18:05,MEMORIAL UNION,0.8562
7,2034,7:18:48,7:18:48,MEMORIAL UNION,1.0501
8,2048,7:19:20,7:19:20,MEMORIAL UNION,1.193
9,2881,7:20:22,7:20:22,MEMORIAL UNION,1.4711
10,2050,7:21:15,7:21:15,MEMORIAL UNION,1.7109999999999999
11,2076,7:22:00,7:22:00,MEMORIAL UNION,1.8968
12,2349,7:22:34,7:22:34,MEMORIAL UNION,1.9996
13,2091,7:23:21,7:23:21,MEMORIAL UNION,2.1418
14,2007,7:24:38,7:24:38,MEMORIAL UNION,2.3727
15,2267,7:25:52,7:25:52,MEMORIAL UNION,2.5951
16,2195,7:27:00,7:27:00,MEMORIAL UNION,2.7884
17,2145,7:28:11,7:28:11,MEMORIAL UNION,2.9506
18,298,7:28:49,7:28:49,MEMORIAL UNION,3.0388
19,573,7:29:46,7:29:46,MEMORIAL UNION,3.1699
20,438,7:31:12,7:31:12,MEMORIAL UNION,3.3676
21,706,7:31:56,7:31:56,MEMORIAL UNION,3.4683
22,336,7:34:00,7:34:00,MEMORIAL UNION,3.7459
23,5,7:35:20,7:35:20,MEMORIAL UNION,3.9137
24,61,7:36:39,7:36:39,MEMORIAL UNION,4.079
25,75,7:38:07,7:38:07,MEMORIAL UNION,4.2642
26,43,7:38:58,7:38:58,MEMORIAL UNION,4.3717
27,39,7:39:39,7:39:39,MEMORIAL UNION,4.4587
28,765,7:40:18,7:40:18,MEMORIAL UNION,4.5402
29,49,7:41:39,7:41:39,MEMORIAL UNION,4.7111
30,10,7:43:00,7:43:00,DROP OFFS ONLY,4.8728
