stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,2398,6:46:00,6:46:00,UNION CORNERS: VIA CAMPUS: VIA JOHNSON,0.0263
2,2397,6:47:05,6:47:05,UNION CORNERS: VIA CAMPUS: VIA JOHNSON,0.2517
3,2175,6:48:00,6:48:00,UNION CORNERS: VIA CAMPUS: VIA JOHNSON,0.4371
4,2101,6:48:46,6:48:46,UNION CORNERS: VIA CAMPUS: VIA JOHNSON,0.6373
5,2395,6:49:16,6:49:16,UNION CORNERS: VIA CAMPUS: VIA JOHNSON,0.7675
6,2923,6:50:02,6:50:02,UNION CORNERS: VIA CAMPUS: VIA JOHNSON,0.9695
7,2191,6:51:08,6:51:08,UNION CORNERS: VIA CAMPUS: VIA JOHNSON,1.2591
8,2755,6:51:50,6:51:50,UNION CORNERS: VIA CAMPUS: VIA JOHNSON,1.4425
9,2595,6:52:23,6:52:23,UNION CORNERS: VIA CAMPUS: VIA JOHNSON,1.5859999999999999
10,2945,6:53:28,6:53:28,UNION CORNERS: VIA CAMPUS: VIA JOHNSON,1.8716
11,2465,6:54:24,6:54:24,UNION CORNERS: VIA CAMPUS: VIA JOHNSON,2.1146
12,809,6:59:00,6:59:00,UNION CORNERS: VIA JOHNSON,3.2996
13,581,7:00:40,7:00:40,UNION CORNERS: VIA JOHNSON,3.5635
14,743,7:01:21,7:01:21,UNION CORNERS: VIA JOHNSON,3.6736
15,455,7:02:30,7:02:30,UNION CORNERS: VIA JOHNSON,3.8563
16,435,7:03:27,7:03:27,UNION CORNERS: VIA JOHNSON,4.0079
17,941,7:04:00,7:04:00,UNION CORNERS: VIA JOHNSON,4.0887
18,839,7:05:15,7:05:15,UNION CORNERS: VIA JOHNSON,4.3372
19,537,7:06:46,7:06:46,UNION CORNERS: VIA JOHNSON,4.6409
20,1227,7:07:56,7:07:56,UNION CORNERS: VIA JOHNSON,4.8751
21,1831,7:08:48,7:08:48,UNION CORNERS: VIA JOHNSON,5.0492
22,1397,7:09:25,7:09:25,UNION CORNERS: VIA JOHNSON,5.1748
23,1121,7:09:51,7:09:51,UNION CORNERS: VIA JOHNSON,5.2623
24,1151,7:10:40,7:10:40,UNION CORNERS: VIA JOHNSON,5.4244
25,1209,7:12:00,7:12:00,UNION CORNERS: VIA JOHNSON,5.6767
26,1325,7:12:52,7:12:52,UNION CORNERS: VIA JOHNSON,5.9259
27,1267,7:13:18,7:13:18,UNION CORNERS: VIA JOHNSON,6.0521
28,1333,7:14:06,7:14:06,UNION CORNERS: VIA JOHNSON,6.2806
29,1843,7:14:32,7:14:32,UNION CORNERS: VIA JOHNSON,6.4052
30,1131,7:15:25,7:15:25,UNION CORNERS: VIA JOHNSON,6.6596
31,1675,7:15:51,7:15:51,UNION CORNERS: VIA JOHNSON,6.784
32,1949,7:16:31,7:16:31,UNION CORNERS: VIA JOHNSON,6.9751
33,1319,7:16:54,7:16:54,UNION CORNERS: VIA JOHNSON,7.0876
34,1518,7:17:33,7:17:33,UNION CORNERS: VIA JOHNSON,7.2738
35,1598,7:18:00,7:18:00,DROP OFFS ONLY,7.3799
