stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,1598,5:57:00,5:57:00,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,0.0441
2,1112,5:57:30,5:57:30,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,0.1442
3,1762,5:58:29,5:58:29,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,0.3379
4,1202,5:59:02,5:59:02,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,0.4449
5,1538,5:59:43,5:59:43,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,0.5782
6,1262,6:00:12,6:00:12,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,0.6739
7,1188,6:01:09,6:01:09,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,0.8598
8,1830,6:01:42,6:01:42,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,0.9689
9,1472,6:02:22,6:02:22,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,1.1004
10,1208,6:02:59,6:02:59,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,1.2206
11,1526,6:03:47,6:03:47,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,1.3759
12,1530,6:04:46,6:04:46,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,1.5688
13,1750,6:05:14,6:05:14,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,1.6615
14,1878,6:06:00,6:06:00,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,1.788
15,1190,6:06:28,6:06:28,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,1.9124
16,1536,6:06:56,6:06:56,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,2.0372
17,1194,6:07:24,6:07:24,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,2.1604
18,1720,6:07:47,6:07:47,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,2.2613
19,1480,6:08:04,6:08:04,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,2.3385
20,161,6:12:00,6:12:00,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,3.3468
21,965,6:12:57,6:12:57,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,3.4619999999999997
22,593,6:14:22,6:14:22,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,3.6349
23,87,6:15:09,6:15:09,UNIVERSITY ROW: VIA JENIFER: VIA U.W. HOSPITAL,3.7308
24,568,6:17:00,6:17:00,UNIVERSITY ROW: VIA U.W. HOSPITAL,3.9507
25,670,6:17:40,6:17:40,UNIVERSITY ROW: VIA U.W. HOSPITAL,4.0414
26,100,6:18:56,6:18:56,UNIVERSITY ROW: VIA U.W. HOSPITAL,4.2111
27,234,6:19:53,6:19:53,UNIVERSITY ROW: VIA U.W. HOSPITAL,4.338
28,178,6:21:04,6:21:04,UNIVERSITY ROW: VIA U.W. HOSPITAL,4.497
29,160,6:22:00,6:22:00,UNIVERSITY ROW: VIA U.W. HOSPITAL,4.6164
30,692,6:23:12,6:23:12,UNIVERSITY ROW: VIA U.W. HOSPITAL,4.8636
31,2806,6:24:10,6:24:10,UNIVERSITY ROW: VIA U.W. HOSPITAL,5.0613
32,2146,6:25:06,6:25:06,UNIVERSITY ROW: VIA U.W. HOSPITAL,5.252999999999999
33,2192,6:25:59,6:25:59,UNIVERSITY ROW: VIA U.W. HOSPITAL,5.4334
34,2643,6:26:54,6:26:54,UNIVERSITY ROW: VIA U.W. HOSPITAL,5.621
35,2393,6:27:22,6:27:22,UNIVERSITY ROW: VIA U.W. HOSPITAL,5.718
36,2125,6:28:33,6:28:33,UNIVERSITY ROW: VIA U.W. HOSPITAL,5.9594
37,2620,6:29:13,6:29:13,UNIVERSITY ROW: VIA U.W. HOSPITAL,6.0986
38,2770,6:30:00,6:30:00,UNIVERSITY ROW: VIA U.W. HOSPITAL,6.2454
39,2576,6:31:00,6:31:00,UNIVERSITY ROW: VIA U.W. HOSPITAL,6.5034
40,2698,6:31:28,6:31:28,UNIVERSITY ROW,6.6248
41,2270,6:32:17,6:32:17,UNIVERSITY ROW,6.8346
42,2712,6:33:23,6:33:23,UNIVERSITY ROW,7.1189
43,2266,6:33:57,6:33:57,UNIVERSITY ROW,7.2662
44,2200,6:34:51,6:34:51,UNIVERSITY ROW,7.4962
45,2846,6:36:01,6:36:01,UNIVERSITY ROW,7.7977
46,2184,6:36:37,6:36:37,UNIVERSITY ROW,7.9524
47,2100,6:37:08,6:37:08,UNIVERSITY ROW,8.0863
48,2376,6:38:00,6:38:00,UNIVERSITY ROW,8.283999999999999
49,2282,6:39:06,6:39:06,UNIVERSITY ROW,8.4696
50,2601,6:41:17,6:41:17,UNIVERSITY ROW,8.8391
51,2398,6:42:00,6:42:00,DROP OFFS ONLY,8.9576
