stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,3195,15:25:00,15:25:00,U.W. CAMPUS-WEST TRANSFER,0.0286
2,3300,15:31:00,15:31:00,U.W. CAMPUS-WEST TRANSFER,2.0799
3,3450,15:31:55,15:31:55,U.W. CAMPUS-WEST TRANSFER,2.3285
4,3368,15:32:26,15:32:26,U.W. CAMPUS-WEST TRANSFER,2.4695
5,3622,15:33:08,15:33:08,U.W. CAMPUS-WEST TRANSFER,2.6595
6,3772,15:34:31,15:34:31,U.W. CAMPUS-WEST TRANSFER,3.0339
7,3240,15:35:08,15:35:08,U.W. CAMPUS-WEST TRANSFER,3.2011
8,3538,15:36:10,15:36:10,U.W. CAMPUS-WEST TRANSFER,3.4842
9,3564,15:37:48,15:37:48,U.W. CAMPUS-WEST TRANSFER,3.9266
10,3550,15:38:50,15:38:50,U.W. CAMPUS-WEST TRANSFER,4.2081
11,3787,15:40:29,15:40:29,U.W. CAMPUS-WEST TRANSFER,4.6581
12,203,15:41:42,15:41:42,U.W. CAMPUS-WEST TRANSFER,4.9894
13,243,15:43:00,15:43:00,U.W. CAMPUS-WEST TRANSFER,5.3207
14,379,15:44:26,15:44:26,U.W. CAMPUS-WEST TRANSFER,5.6713
15,621,15:46:00,15:46:00,U.W. CAMPUS-WEST TRANSFER,6.0581
16,161,15:50:31,15:50:31,U.W. CAMPUS-WEST TRANSFER,7.1629
17,965,15:50:59,15:50:59,U.W. CAMPUS-WEST TRANSFER,7.2781
18,593,15:51:41,15:51:41,U.W. CAMPUS-WEST TRANSFER,7.4509
19,87,15:52:04,15:52:04,U.W. CAMPUS-WEST TRANSFER,7.5468
20,568,15:53:00,15:53:00,U.W. CAMPUS-WEST TRANSFER,7.7668
21,670,15:53:29,15:53:29,U.W. CAMPUS-WEST TRANSFER,7.8576
22,100,15:54:23,15:54:23,U.W. CAMPUS-WEST TRANSFER,8.0273
23,234,15:55:03,15:55:03,U.W. CAMPUS-WEST TRANSFER,8.154
24,757,15:55:56,15:55:56,U.W. CAMPUS-WEST TRANSFER,8.3204
25,488,15:56:34,15:56:34,U.W. CAMPUS-WEST TRANSFER,8.4415
26,184,15:57:23,15:57:23,U.W. CAMPUS-WEST TRANSFER,8.5963
27,532,15:58:00,15:58:00,U.W. CAMPUS-WEST TRANSFER,8.7038
28,2996,15:58:43,15:58:43,U.W. CAMPUS-WEST TRANSFER,8.8207
29,2978,15:59:43,15:59:43,U.W. CAMPUS-WEST TRANSFER,8.9829
30,2442,16:00:39,16:00:39,U.W. CAMPUS-WEST TRANSFER,9.1345
31,2088,16:02:45,16:02:45,U.W. CAMPUS-WEST TRANSFER,9.4738
32,2916,16:04:00,16:04:00,U.W. CAMPUS-WEST TRANSFER,9.6672
33,2822,16:04:48,16:04:48,U.W. CAMPUS-WEST TRANSFER,9.8287
34,2698,16:06:46,16:06:46,U.W. CAMPUS-WEST TRANSFER,10.2211
35,2270,16:07:49,16:07:49,U.W. CAMPUS-WEST TRANSFER,10.4309
36,2712,16:09:15,16:09:15,U.W. CAMPUS-WEST TRANSFER,10.7152
37,2266,16:09:59,16:09:59,U.W. CAMPUS-WEST TRANSFER,10.8625
38,2812,16:11:15,16:11:15,U.W. CAMPUS-WEST TRANSFER,11.1136
39,2362,16:12:05,16:12:05,U.W. CAMPUS-WEST TRANSFER,11.2795
40,2194,16:13:29,16:13:29,U.W. CAMPUS-WEST TRANSFER,11.5578
41,2562,16:14:00,16:14:00,U.W. CAMPUS-WEST TRANSFER,11.6466
42,2338,16:14:27,16:14:27,U.W. CAMPUS-WEST TRANSFER,11.7654
43,2148,16:14:47,16:14:47,U.W. CAMPUS-WEST TRANSFER,11.8553
44,2628,16:16:04,16:16:04,U.W. CAMPUS-WEST TRANSFER,12.19
45,2647,16:17:12,16:17:12,U.W. CAMPUS-WEST TRANSFER,12.488
46,2975,16:17:44,16:17:44,U.W. CAMPUS-WEST TRANSFER,12.6266
47,2590,16:18:23,16:18:23,U.W. CAMPUS-WEST TRANSFER,12.7993
48,2346,16:19:15,16:19:15,U.W. CAMPUS-WEST TRANSFER,13.027999999999999
49,2972,16:20:18,16:20:18,U.W. CAMPUS-WEST TRANSFER,13.3027
50,2222,16:20:53,16:20:53,U.W. CAMPUS-WEST TRANSFER,13.4549
51,2274,16:21:36,16:21:36,U.W. CAMPUS-WEST TRANSFER,13.6427
52,2202,16:22:40,16:22:40,U.W. CAMPUS-WEST TRANSFER,13.9198
53,2182,16:23:02,16:23:02,U.W. CAMPUS-WEST TRANSFER,14.0174
54,2226,16:23:54,16:23:54,U.W. CAMPUS-WEST TRANSFER,14.2461
55,6100,16:25:00,16:25:00,DROP OFFS ONLY,14.499
