stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,133,14:45:00,14:45:00,CAPITOL SQUARE-DUTCH MILL,0.039
2,809,14:45:54,14:45:54,CAPITOL SQUARE-DUTCH MILL,0.1548
3,581,14:48:00,14:48:00,CAPITOL SQUARE-DUTCH MILL,0.4187
4,743,14:48:53,14:48:53,CAPITOL SQUARE-DUTCH MILL,0.5287
5,455,14:50:21,14:50:21,CAPITOL SQUARE-DUTCH MILL,0.7114
6,435,14:51:34,14:51:34,CAPITOL SQUARE-DUTCH MILL,0.8631
7,941,14:52:13,14:52:13,CAPITOL SQUARE-DUTCH MILL,0.9439
8,839,14:54:13,14:54:13,CAPITOL SQUARE-DUTCH MILL,1.1925
9,883,14:55:46,14:55:46,CAPITOL SQUARE-DUTCH MILL,1.3864
10,1324,14:56:41,14:56:41,CAPITOL SQUARE-DUTCH MILL,1.5019999999999998
11,1101,14:58:00,14:58:00,DUTCH MILL,1.6569
12,1872,14:58:32,14:58:32,DUTCH MILL,1.8068
13,248,14:58:54,14:58:54,DUTCH MILL,1.9109
14,564,14:59:20,14:59:20,DUTCH MILL,2.0334
15,668,14:59:40,14:59:40,DUTCH MILL,2.1266
16,544,15:00:14,15:00:14,DUTCH MILL,2.2864
17,492,15:04:07,15:04:07,DUTCH MILL,3.3517
18,862,15:05:41,15:05:41,DUTCH MILL,3.7834
19,650,15:07:00,15:07:00,DUTCH MILL,4.1256
20,3615,15:11:05,15:11:05,DUTCH MILL,5.5985
21,3793,15:11:42,15:11:42,DUTCH MILL,5.8246
22,3419,15:11:53,15:11:53,DUTCH MILL,5.8942
23,3101,15:12:11,15:12:11,DUTCH MILL,6.0066
24,3261,15:12:39,15:12:39,DUTCH MILL,6.1767
25,3323,15:13:00,15:13:00,DUTCH MILL,6.2817
26,3195,15:20:00,15:20:00,DROP OFFS ONLY,8.1774
