stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,3195,5:45:00,5:45:00,CAPITOL SQUARE-WEST TRANSFER,0.0286
2,3196,5:51:00,5:51:00,CAPITOL SQUARE-WEST TRANSFER,2.1590000000000003
3,3680,5:51:19,5:51:19,CAPITOL SQUARE-WEST TRANSFER,2.2888
4,3100,5:51:35,5:51:35,CAPITOL SQUARE-WEST TRANSFER,2.4016
5,3216,5:51:55,5:51:55,CAPITOL SQUARE-WEST TRANSFER,2.5425
6,3368,5:52:09,5:52:09,CAPITOL SQUARE-WEST TRANSFER,2.6408
7,3622,5:52:37,5:52:37,CAPITOL SQUARE-WEST TRANSFER,2.8307
8,243,5:56:00,5:56:00,CAPITOL SQUARE-WEST TRANSFER,4.1858
9,379,5:57:20,5:57:20,CAPITOL SQUARE-WEST TRANSFER,4.5364
10,621,5:58:48,5:58:48,CAPITOL SQUARE-WEST TRANSFER,4.9231
11,791,6:03:07,6:03:07,CAPITOL SQUARE-WEST TRANSFER,6.0567
12,1101,6:04:00,6:04:00,WEST TRANSFER,6.2794
13,1787,6:04:52,6:04:52,WEST TRANSFER,6.4333
14,1100,6:05:43,6:05:43,WEST TRANSFER,6.5854
15,1310,6:06:19,6:06:19,WEST TRANSFER,6.6922
16,1558,6:06:51,6:06:51,WEST TRANSFER,6.7871
17,898,6:07:20,6:07:20,WEST TRANSFER,6.8747
18,252,6:07:49,6:07:49,WEST TRANSFER,6.9617
19,568,6:09:28,6:09:28,WEST TRANSFER,7.2527
20,670,6:09:58,6:09:58,WEST TRANSFER,7.3434
21,100,6:11:00,6:11:00,WEST TRANSFER,7.5131
22,234,6:11:17,6:11:17,WEST TRANSFER,7.6398
23,178,6:11:39,6:11:39,WEST TRANSFER,7.7989999999999995
24,160,6:11:55,6:11:55,WEST TRANSFER,7.9183
25,2698,6:14:56,6:14:56,WEST TRANSFER,9.2105
26,2270,6:15:25,6:15:25,WEST TRANSFER,9.4203
27,2712,6:16:04,6:16:04,WEST TRANSFER,9.7046
28,2266,6:16:24,6:16:24,WEST TRANSFER,9.8519
29,2200,6:17:00,6:17:00,WEST TRANSFER,10.0819
30,2370,6:17:49,6:17:49,WEST TRANSFER,10.3336
31,2902,6:19:12,6:19:12,WEST TRANSFER,10.7538
32,2630,6:19:52,6:19:52,WEST TRANSFER,10.9558
33,2798,6:21:09,6:21:09,WEST TRANSFER,11.3487
34,2898,6:21:44,6:21:44,WEST TRANSFER,11.5303
35,2684,6:22:14,6:22:14,WEST TRANSFER,11.6863
36,2670,6:22:59,6:22:59,WEST TRANSFER,11.9152
37,2984,6:24:04,6:24:04,WEST TRANSFER,12.2461
38,6100,6:25:00,6:25:00,DROP OFFS ONLY,12.5032
