stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6253,6:15:00,6:15:00,EAST TRANSFER: VIA HIGH POINT: VIA OLD MIDDLETON,0.0191
2,6277,6:15:26,6:15:26,EAST TRANSFER: VIA HIGH POINT: VIA OLD MIDDLETON,0.2093
3,6539,6:16:03,6:16:03,EAST TRANSFER: VIA HIGH POINT: VIA OLD MIDDLETON,0.4803
4,6665,6:16:38,6:16:38,EAST TRANSFER: VIA HIGH POINT: VIA OLD MIDDLETON,0.7413
5,6531,6:17:29,6:17:29,EAST TRANSFER: VIA HIGH POINT: VIA OLD MIDDLETON,1.1169
6,6189,6:18:00,6:18:00,EAST TRANSFER: VIA OLD MIDDLETON,1.327
7,6873,6:19:02,6:19:02,EAST TRANSFER: VIA OLD MIDDLETON,1.5919
8,6245,6:19:44,6:19:44,EAST TRANSFER: VIA OLD MIDDLETON,1.7728
9,6327,6:20:09,6:20:09,EAST TRANSFER: VIA OLD MIDDLETON,1.8822
10,6309,6:21:31,6:21:31,EAST TRANSFER: VIA OLD MIDDLETON,2.2338
11,6817,6:22:13,6:22:13,EAST TRANSFER: VIA OLD MIDDLETON,2.4167
12,6615,6:22:57,6:22:57,EAST TRANSFER: VIA OLD MIDDLETON,2.6069999999999998
13,6921,6:24:18,6:24:18,EAST TRANSFER: VIA OLD MIDDLETON,2.9539
14,6115,6:25:12,6:25:12,EAST TRANSFER: VIA OLD MIDDLETON,3.188
15,6857,6:26:02,6:26:02,EAST TRANSFER: VIA OLD MIDDLETON,3.4018
16,6233,6:27:00,6:27:00,EAST TRANSFER: VIA OLD MIDDLETON,3.6510000000000002
17,6161,6:28:24,6:28:24,EAST TRANSFER: VIA OLD MIDDLETON,4.0101
18,2617,6:29:14,6:29:14,EAST TRANSFER: VIA OLD MIDDLETON,4.2258
19,2205,6:30:00,6:30:00,EAST TRANSFER: VIA OLD MIDDLETON,4.4244
20,2787,6:31:07,6:31:07,EAST TRANSFER: VIA OLD MIDDLETON,4.7125
21,2513,6:32:00,6:32:00,EAST TRANSFER: VIA OLD MIDDLETON,4.9042
22,2923,6:33:31,6:33:31,EAST TRANSFER,5.3193
23,2191,6:34:34,6:34:34,EAST TRANSFER,5.6089
24,2755,6:35:14,6:35:14,EAST TRANSFER,5.7923
25,2595,6:35:45,6:35:45,EAST TRANSFER,5.9358
26,2945,6:36:47,6:36:47,EAST TRANSFER,6.2214
27,2465,6:37:40,6:37:40,EAST TRANSFER,6.4644
28,809,6:41:59,6:41:59,EAST TRANSFER,7.6494
29,581,6:43:00,6:43:00,EAST TRANSFER,7.9133
30,743,6:43:53,6:43:53,EAST TRANSFER,8.0234
31,455,6:45:21,6:45:21,EAST TRANSFER,8.2061
32,435,6:46:34,6:46:34,EAST TRANSFER,8.3577
33,941,6:47:13,6:47:13,EAST TRANSFER,8.4386
34,839,6:49:13,6:49:13,EAST TRANSFER,8.687000000000001
35,883,6:50:46,6:50:46,EAST TRANSFER,8.881
36,1324,6:51:41,6:51:41,EAST TRANSFER,8.9966
37,1101,6:53:00,6:53:00,EAST TRANSFER,9.1516
38,1787,6:53:47,6:53:47,EAST TRANSFER,9.3055
39,1323,6:54:33,6:54:33,EAST TRANSFER,9.454
40,1579,6:55:33,6:55:33,EAST TRANSFER,9.6491
41,1927,6:56:50,6:56:50,EAST TRANSFER,9.8996
42,1565,6:57:38,6:57:38,EAST TRANSFER,10.0543
43,1199,6:59:00,6:59:00,EAST TRANSFER,10.3083
44,1883,6:59:49,6:59:49,EAST TRANSFER,10.5543
45,1513,7:00:37,7:00:37,EAST TRANSFER,10.7921
46,1241,7:01:22,7:01:22,EAST TRANSFER,11.0148
47,1107,7:01:54,7:01:54,EAST TRANSFER,11.1774
48,1141,7:02:36,7:02:36,EAST TRANSFER,11.3893
49,1233,7:03:26,7:03:26,EAST TRANSFER,11.6371
50,1293,7:04:04,7:04:04,EAST TRANSFER,11.8278
51,1137,7:04:40,7:04:40,EAST TRANSFER,12.0087
52,1975,7:05:09,7:05:09,EAST TRANSFER,12.1542
53,1919,7:05:39,7:05:39,EAST TRANSFER,12.3065
54,1855,7:06:12,7:06:12,EAST TRANSFER,12.4719
55,1751,7:06:50,7:06:50,EAST TRANSFER,12.6615
56,1309,7:07:21,7:07:21,EAST TRANSFER,12.8151
57,1105,7:07:51,7:07:51,EAST TRANSFER,12.9657
58,7100,7:09:00,7:09:00,DROP OFFS ONLY,13.2661
