stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7100,5:45:00,5:45:00,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,0.0092
2,1886,5:46:20,5:46:20,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,0.3451
3,1206,5:46:52,5:46:52,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,0.4819
4,1462,5:47:32,5:47:32,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,0.6518
5,1220,5:48:07,5:48:07,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,0.8009999999999999
6,1848,5:48:48,5:48:48,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,0.975
7,1482,5:49:17,5:49:17,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,1.0993
8,1746,5:50:00,5:50:00,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,1.2821
9,1112,5:50:51,5:50:51,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,1.4985
10,1846,5:51:35,5:51:35,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,1.6824
11,1488,5:52:18,5:52:18,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,1.8630000000000002
12,1382,5:53:17,5:53:17,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,2.1114
13,1350,5:54:01,5:54:01,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,2.2955
14,1412,5:54:44,5:54:44,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,2.478
15,1730,5:55:52,5:55:52,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,2.7627
16,1650,5:57:00,5:57:00,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,3.0163
17,1660,5:58:27,5:58:27,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,3.2636
18,1392,5:59:01,5:59:01,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,3.3608
19,1214,6:00:29,6:00:29,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,3.6108
20,1618,6:02:04,6:02:04,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,3.8786
21,1100,6:03:00,6:03:00,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,4.0294
22,1310,6:03:55,6:03:55,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,4.1362
23,1558,6:04:44,6:04:44,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,4.2311
24,898,6:05:29,6:05:29,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,4.3187
25,252,6:06:14,6:06:14,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,4.4058
26,568,6:08:44,6:08:44,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,4.6966
27,670,6:09:30,6:09:30,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,4.7874
28,100,6:11:00,6:11:00,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,4.9571
29,234,6:11:25,6:11:25,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,5.0839
30,178,6:11:57,6:11:57,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,5.2429
31,160,6:12:21,6:12:21,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,5.3623
32,2698,6:16:44,6:16:44,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,6.6545
33,2270,6:17:26,6:17:26,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,6.8643
34,2712,6:18:23,6:18:23,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,7.1486
35,2266,6:18:52,6:18:52,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,7.2959
36,2200,6:19:38,6:19:38,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,7.5259
37,2370,6:20:29,6:20:29,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,7.7776
38,2902,6:22:00,6:22:00,JUNCTION RIDGE: VIA OLD MIDDLETON: VIA HIGH POINT,8.1978
39,2220,6:22:32,6:22:32,JUNCTION RIDGE: VIA HIGH POINT,8.3611
40,2236,6:23:31,6:23:31,JUNCTION RIDGE: VIA HIGH POINT,8.66
41,2718,6:24:12,6:24:12,JUNCTION RIDGE: VIA HIGH POINT,8.8671
42,6678,6:24:56,6:24:56,JUNCTION RIDGE: VIA HIGH POINT,9.0904
43,6340,6:26:07,6:26:07,JUNCTION RIDGE: VIA HIGH POINT,9.4476
44,6784,6:26:56,6:26:56,JUNCTION RIDGE: VIA HIGH POINT,9.6968
45,6506,6:27:38,6:27:38,JUNCTION RIDGE: VIA HIGH POINT,9.9112
46,6176,6:28:24,6:28:24,JUNCTION RIDGE: VIA HIGH POINT,10.1435
47,6854,6:29:32,6:29:32,JUNCTION RIDGE: VIA HIGH POINT,10.4866
48,6780,6:30:09,6:30:09,JUNCTION RIDGE: VIA HIGH POINT,10.6754
49,6910,6:30:45,6:30:45,JUNCTION RIDGE: VIA HIGH POINT,10.8594
50,6466,6:31:54,6:31:54,JUNCTION RIDGE: VIA HIGH POINT,11.2102
51,6902,6:32:15,6:32:15,JUNCTION RIDGE: VIA HIGH POINT,11.3196
52,6570,6:32:51,6:32:51,JUNCTION RIDGE: VIA HIGH POINT,11.5005
53,6972,6:34:00,6:34:00,JUNCTION RIDGE: VIA HIGH POINT,11.8082
54,6140,6:34:34,6:34:34,JUNCTION RIDGE: VIA HIGH POINT,11.9858
55,6814,6:35:40,6:35:40,JUNCTION RIDGE: VIA HIGH POINT,12.3324
56,6681,6:36:41,6:36:41,JUNCTION RIDGE: VIA HIGH POINT,12.6519
57,6450,6:37:27,6:37:27,JUNCTION RIDGE: VIA HIGH POINT,12.892999999999999
58,6130,6:38:00,6:38:00,DROP OFFS ONLY,13.0564
