stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6253,8:15:00,8:15:00,TO INGERSOLL: VIA HIGH POINT: VIA OLD MIDDLETON,0.0191
2,6277,8:15:26,8:15:26,TO INGERSOLL: VIA HIGH POINT: VIA OLD MIDDLETON,0.2093
3,6539,8:16:03,8:16:03,TO INGERSOLL: VIA HIGH POINT: VIA OLD MIDDLETON,0.4803
4,6665,8:16:38,8:16:38,TO INGERSOLL: VIA HIGH POINT: VIA OLD MIDDLETON,0.7413
5,6531,8:17:29,8:17:29,TO INGERSOLL: VIA HIGH POINT: VIA OLD MIDDLETON,1.1169
6,6189,8:18:00,8:18:00,TO INGERSOLL: VIA OLD MIDDLETON,1.327
7,6873,8:19:02,8:19:02,TO INGERSOLL: VIA OLD MIDDLETON,1.5919
8,6245,8:19:44,8:19:44,TO INGERSOLL: VIA OLD MIDDLETON,1.7728
9,6327,8:20:09,8:20:09,TO INGERSOLL: VIA OLD MIDDLETON,1.8822
10,6309,8:21:31,8:21:31,TO INGERSOLL: VIA OLD MIDDLETON,2.2338
11,6817,8:22:13,8:22:13,TO INGERSOLL: VIA OLD MIDDLETON,2.4167
12,6615,8:22:57,8:22:57,TO INGERSOLL: VIA OLD MIDDLETON,2.6069999999999998
13,6921,8:24:18,8:24:18,TO INGERSOLL: VIA OLD MIDDLETON,2.9539
14,6115,8:25:12,8:25:12,TO INGERSOLL: VIA OLD MIDDLETON,3.188
15,6857,8:26:02,8:26:02,TO INGERSOLL: VIA OLD MIDDLETON,3.4018
16,6233,8:27:00,8:27:00,TO INGERSOLL: VIA OLD MIDDLETON,3.6510000000000002
17,6161,8:28:24,8:28:24,TO INGERSOLL: VIA OLD MIDDLETON,4.0101
18,2617,8:29:14,8:29:14,TO INGERSOLL: VIA OLD MIDDLETON,4.2258
19,2205,8:30:00,8:30:00,TO INGERSOLL: VIA OLD MIDDLETON,4.4244
20,2787,8:31:07,8:31:07,TO INGERSOLL: VIA OLD MIDDLETON,4.7125
21,2513,8:32:00,8:32:00,TO INGERSOLL: VIA OLD MIDDLETON,4.9042
22,2923,8:33:31,8:33:31,TO INGERSOLL,5.3193
23,2191,8:34:34,8:34:34,TO INGERSOLL,5.6089
24,2755,8:35:14,8:35:14,TO INGERSOLL,5.7923
25,2595,8:35:45,8:35:45,TO INGERSOLL,5.9358
26,2945,8:36:47,8:36:47,TO INGERSOLL,6.2214
27,2465,8:37:40,8:37:40,TO INGERSOLL,6.4644
28,809,8:41:59,8:41:59,TO INGERSOLL,7.6494
29,581,8:43:00,8:43:00,TO INGERSOLL,7.9133
30,743,8:43:53,8:43:53,TO INGERSOLL,8.0234
31,455,8:45:21,8:45:21,TO INGERSOLL,8.2061
32,435,8:46:34,8:46:34,TO INGERSOLL,8.3577
33,941,8:47:13,8:47:13,TO INGERSOLL,8.4386
34,839,8:49:13,8:49:13,TO INGERSOLL,8.687000000000001
35,883,8:50:46,8:50:46,TO INGERSOLL,8.881
36,1324,8:51:41,8:51:41,TO INGERSOLL,8.9966
37,1101,8:53:00,8:53:00,TO INGERSOLL,9.1516
38,1787,8:53:46,8:53:46,TO INGERSOLL,9.3055
39,1323,8:54:30,8:54:30,TO INGERSOLL,9.454
40,1579,8:55:28,8:55:28,TO INGERSOLL,9.6491
41,1927,8:56:43,8:56:43,TO INGERSOLL,9.8996
42,1565,8:57:29,8:57:29,TO INGERSOLL,10.0543
43,1700,8:59:00,8:59:00,DROP OFFS ONLY,10.343
