stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,6:00:00,6:00:00,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,0.0097
2,2324,6:00:38,6:00:38,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,0.2342
3,2522,6:01:03,6:01:03,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,0.3808
4,8418,6:01:50,6:01:50,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,0.653
5,8742,6:02:18,6:02:18,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,0.8151
6,8827,6:03:14,6:03:14,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,1.1431
7,8721,6:04:04,6:04:04,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,1.4340000000000002
8,8661,6:04:31,6:04:31,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,1.5943
9,8479,6:05:00,6:05:00,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,1.7391
10,4494,6:06:33,6:06:33,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,2.2228
11,4326,6:07:06,6:07:06,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,2.395
12,4714,6:07:41,6:07:41,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,2.5785
13,4500,6:08:09,6:08:09,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,2.7248
14,4202,6:08:38,6:08:38,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,2.8773
15,4580,6:09:06,6:09:06,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,3.025
16,4856,6:09:23,6:09:23,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,3.1162
17,4990,6:10:02,6:10:02,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,3.3224
18,4791,6:10:38,6:10:38,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,3.5135
19,4849,6:11:07,6:11:07,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,3.6643
20,4663,6:11:33,6:11:33,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,3.7994
21,4437,6:11:52,6:11:52,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,3.9023
22,4179,6:12:16,6:12:16,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,4.0309
23,4263,6:12:52,6:12:52,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,4.2212
24,4719,6:13:11,6:13:11,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,4.3234
25,4761,6:14:00,6:14:00,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,4.5292
26,4685,6:14:36,6:14:36,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,4.7317
27,4539,6:14:49,6:14:49,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,4.8057
28,4873,6:16:02,6:16:02,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,5.2113
29,4139,6:16:23,6:16:23,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,5.3291
30,4377,6:17:05,6:17:05,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,5.5647
31,4841,6:17:53,6:17:53,SOUTH TRANSFER: VIA HAMMERSLEY: VIA COHO,5.8338
32,4426,6:19:10,6:19:10,SOUTH TRANSFER: VIA COHO,6.2636
33,4739,6:20:00,6:20:00,SOUTH TRANSFER: VIA COHO,6.5245
34,4373,6:20:39,6:20:39,SOUTH TRANSFER: VIA COHO,6.6989
35,4443,6:21:07,6:21:07,SOUTH TRANSFER: VIA COHO,6.8261
36,4845,6:22:37,6:22:37,SOUTH TRANSFER: VIA COHO,7.2256
37,353,6:23:14,6:23:14,SOUTH TRANSFER: VIA COHO,7.3908
38,121,6:23:39,6:23:39,SOUTH TRANSFER: VIA COHO,7.5039
39,173,6:24:15,6:24:15,SOUTH TRANSFER: VIA COHO,7.6637
40,4100,6:25:00,6:25:00,DROP OFFS ONLY,7.8433
