stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,5:30:00,5:30:00,WEST TRANSFER: VIA COHO: VIA HAMMERSLEY,0.0074
2,4790,5:33:08,5:33:08,WEST TRANSFER: VIA COHO: VIA HAMMERSLEY,1.1386
3,4886,5:33:30,5:33:30,WEST TRANSFER: VIA COHO: VIA HAMMERSLEY,1.2743
4,4224,5:34:00,5:34:00,WEST TRANSFER: VIA COHO: VIA HAMMERSLEY,1.4492
5,4787,5:34:47,5:34:47,WEST TRANSFER: VIA COHO: VIA HAMMERSLEY,1.7101
6,4782,5:36:00,5:36:00,WEST TRANSFER: VIA COHO: VIA HAMMERSLEY,2.1114
7,4876,5:36:22,5:36:22,WEST TRANSFER: VIA HAMMERSLEY,2.2339
8,4968,5:36:55,5:36:55,WEST TRANSFER: VIA HAMMERSLEY,2.4166
9,4412,5:37:36,5:37:36,WEST TRANSFER: VIA HAMMERSLEY,2.6433
10,4776,5:37:53,5:37:53,WEST TRANSFER: VIA HAMMERSLEY,2.7381
11,4560,5:39:16,5:39:16,WEST TRANSFER: VIA HAMMERSLEY,3.1948
12,4430,5:40:00,5:40:00,WEST TRANSFER: VIA HAMMERSLEY,3.4152
13,4688,5:40:40,5:40:40,WEST TRANSFER: VIA HAMMERSLEY,3.6307
14,4456,5:41:08,5:41:08,WEST TRANSFER: VIA HAMMERSLEY,3.7835
15,4798,5:41:31,5:41:31,WEST TRANSFER: VIA HAMMERSLEY,3.9076
16,4714,5:42:06,5:42:06,WEST TRANSFER: VIA HAMMERSLEY,4.096
17,4158,5:42:30,5:42:30,WEST TRANSFER: VIA HAMMERSLEY,4.2279
18,4446,5:42:56,5:42:56,WEST TRANSFER: VIA HAMMERSLEY,4.368
19,4806,5:43:29,5:43:29,WEST TRANSFER: VIA HAMMERSLEY,4.5425
20,4847,5:43:55,5:43:55,WEST TRANSFER: VIA HAMMERSLEY,4.6835
21,4769,5:44:31,5:44:31,WEST TRANSFER: VIA HAMMERSLEY,4.8761
22,4333,5:44:49,5:44:49,WEST TRANSFER: VIA HAMMERSLEY,4.9727
23,4191,5:45:22,5:45:22,WEST TRANSFER: VIA HAMMERSLEY,5.1489
24,4861,5:45:57,5:45:57,WEST TRANSFER: VIA HAMMERSLEY,5.3337
25,4295,5:46:13,5:46:13,WEST TRANSFER: VIA HAMMERSLEY,5.4189
26,4481,5:46:38,5:46:38,WEST TRANSFER: VIA HAMMERSLEY,5.5561
27,4751,5:47:27,5:47:27,WEST TRANSFER: VIA HAMMERSLEY,5.815
28,8154,5:49:00,5:49:00,WEST TRANSFER: VIA HAMMERSLEY,6.2633
29,8770,5:49:31,5:49:31,WEST TRANSFER: VIA HAMMERSLEY,6.4398
30,8594,5:49:54,5:49:54,WEST TRANSFER: VIA HAMMERSLEY,6.5715
31,8604,5:50:49,5:50:49,WEST TRANSFER: VIA HAMMERSLEY,6.8854
32,8173,5:51:30,5:51:30,WEST TRANSFER: VIA HAMMERSLEY,7.1203
33,8633,5:52:01,5:52:01,WEST TRANSFER: VIA HAMMERSLEY,7.2988
34,8605,5:52:41,5:52:41,WEST TRANSFER: VIA HAMMERSLEY,7.5241
35,2383,5:53:38,5:53:38,WEST TRANSFER: VIA HAMMERSLEY,7.8491
36,2665,5:54:00,5:54:00,WEST TRANSFER: VIA HAMMERSLEY,7.9728
37,6100,5:55:00,5:55:00,DROP OFFS ONLY,8.2862
