stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,1100,6:16:00,6:16:00,SUN PRAIRIE: VIA AMERICAN CENTER,0.0229
2,1324,6:16:29,6:16:29,SUN PRAIRIE: VIA AMERICAN CENTER,0.1574
3,1101,6:17:03,6:17:03,SUN PRAIRIE: VIA AMERICAN CENTER,0.3124
4,1787,6:17:37,6:17:37,SUN PRAIRIE: VIA AMERICAN CENTER,0.4663
5,1323,6:18:10,6:18:10,SUN PRAIRIE: VIA AMERICAN CENTER,0.6149
6,1927,6:19:49,6:19:49,SUN PRAIRIE: VIA AMERICAN CENTER,1.0605
7,1311,6:27:00,6:27:00,SUN PRAIRIE: VIA AMERICAN CENTER,2.9827
8,9573,6:31:59,6:31:59,SUN PRAIRIE: VIA AMERICAN CENTER,4.8766
9,9139,6:34:00,6:34:00,SUN PRAIRIE: VIA AMERICAN CENTER,5.6405
10,9333,6:39:00,6:39:00,SUN PRAIRIE: VIA AMERICAN CENTER,8.1299
11,9595,6:39:55,6:39:55,SUN PRAIRIE: VIA AMERICAN CENTER,8.4965
12,9327,6:41:00,6:41:00,SUN PRAIRIE: VIA AMERICAN CENTER,8.9283
13,9741,6:43:00,6:43:00,SUN PRAIRIE,9.7234
14,9639,6:43:51,6:43:51,SUN PRAIRIE,10.0657
15,9227,6:44:27,6:44:27,SUN PRAIRIE,10.3097
16,9953,6:45:00,6:45:00,DROP OFFS ONLY,10.5059
