stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,1100,15:50:00,15:50:00,SUN PRAIRIE: VIA PARK & RIDE,0.0229
2,1324,15:50:35,15:50:35,SUN PRAIRIE: VIA PARK & RIDE,0.1574
3,1101,15:51:15,15:51:15,SUN PRAIRIE: VIA PARK & RIDE,0.3124
4,1787,15:51:55,15:51:55,SUN PRAIRIE: VIA PARK & RIDE,0.4663
5,1323,15:52:34,15:52:34,SUN PRAIRIE: VIA PARK & RIDE,0.6149
6,1927,15:54:31,15:54:31,SUN PRAIRIE: VIA PARK & RIDE,1.0605
7,1311,16:03:00,16:03:00,SUN PRAIRIE: VIA PARK & RIDE,2.9827
8,9573,16:08:42,16:08:42,SUN PRAIRIE: VIA PARK & RIDE,4.8766
9,9139,16:11:00,16:11:00,SUN PRAIRIE: VIA PARK & RIDE,5.6405
10,9001,16:17:00,16:17:00,SUN PRAIRIE: VIA PARK & RIDE,9.2372
11,9543,16:18:12,16:18:12,SUN PRAIRIE,9.5731
12,9177,16:19:17,16:19:17,SUN PRAIRIE,9.8796
13,9621,16:20:35,16:20:35,SUN PRAIRIE,10.2467
14,9219,16:22:12,16:22:12,SUN PRAIRIE,10.7013
15,9955,16:22:51,16:22:51,SUN PRAIRIE,10.8855
16,9437,16:24:00,16:24:00,SUN PRAIRIE,11.1966
17,9242,16:25:23,16:25:23,SUN PRAIRIE,11.5539
18,9504,16:26:41,16:26:41,SUN PRAIRIE,11.8911
19,9258,16:28:30,16:28:30,SUN PRAIRIE,12.3609
20,9148,16:30:00,16:30:00,SUN PRAIRIE,12.7478
21,9726,16:31:00,16:31:00,DROP OFFS ONLY,12.9943
