stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9800,6:30:00,6:30:00,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,0.0116
2,9163,6:30:20,6:30:20,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,0.1522
3,9321,6:30:44,6:30:44,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,0.3248
4,9475,6:31:11,6:31:11,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,0.5191
5,9333,6:35:52,6:35:52,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,2.4878
6,9744,6:36:20,6:36:20,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,2.6865
7,9829,6:36:45,6:36:45,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,2.8678
8,9717,6:37:34,6:37:34,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,3.2108
9,9300,6:38:00,6:38:00,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,3.3661
10,9651,6:38:47,6:38:47,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,3.7651
11,9486,6:39:07,6:39:07,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,3.9349
12,9932,6:39:57,6:39:57,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,4.3538
13,9527,6:40:22,6:40:22,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,4.5648
14,9113,6:40:43,6:40:43,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,4.7449
15,9581,6:41:03,6:41:03,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,4.9155
16,9901,6:41:15,6:41:15,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,5.0181
17,9747,6:41:26,6:41:26,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,5.1117
18,9472,6:41:48,6:41:48,E TOWNE: VIA AMERICAN CENTER: VIA CITY VIEW,5.2988
19,9822,6:43:00,6:43:00,E TOWNE: VIA CITY VIEW,5.8704
20,9131,6:44:11,6:44:11,E TOWNE: VIA CITY VIEW,6.2612
21,9826,6:44:51,6:44:51,E TOWNE: VIA CITY VIEW,6.4839
22,9498,6:45:26,6:45:26,E TOWNE: VIA CITY VIEW,6.6778
23,9539,6:46:19,6:46:19,E TOWNE: VIA CITY VIEW,6.9746
24,9615,6:47:01,6:47:01,E TOWNE: VIA CITY VIEW,7.2096
25,9349,6:47:27,6:47:27,E TOWNE: VIA CITY VIEW,7.3548
26,9264,6:48:02,6:48:02,E TOWNE: VIA CITY VIEW,7.5511
27,9173,6:49:28,6:49:28,E TOWNE: VIA CITY VIEW,8.0275
28,9348,6:50:07,6:50:07,E TOWNE: VIA CITY VIEW,8.2452
29,9928,6:50:42,6:50:42,E TOWNE: VIA CITY VIEW,8.4414
30,9422,6:51:09,6:51:09,E TOWNE: VIA CITY VIEW,8.5913
31,9800,6:52:00,6:52:00,DROP OFFS ONLY,8.8408
