stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,47,15:22:00,15:22:00,NORTH TRANSFER: VIA WASHINGTON,0.03
2,573,15:23:11,15:23:11,NORTH TRANSFER: VIA WASHINGTON,0.1878
3,438,15:24:40,15:24:40,NORTH TRANSFER: VIA WASHINGTON,0.3855
4,706,15:25:25,15:25:25,NORTH TRANSFER: VIA WASHINGTON,0.4861
5,490,15:26:14,15:26:14,NORTH TRANSFER: VIA WASHINGTON,0.5948
6,104,15:27:26,15:27:26,NORTH TRANSFER: VIA WASHINGTON,0.7558
7,392,15:28:11,15:28:11,NORTH TRANSFER: VIA WASHINGTON,0.8559
8,327,15:29:22,15:29:22,NORTH TRANSFER: VIA WASHINGTON,1.0137
9,271,15:30:34,15:30:34,NORTH TRANSFER: VIA WASHINGTON,1.1741
10,273,15:32:00,15:32:00,NORTH TRANSFER: VIA WASHINGTON,1.3571
11,469,15:33:05,15:33:05,NORTH TRANSFER: VIA WASHINGTON,1.5164
12,967,15:34:02,15:34:02,NORTH TRANSFER: VIA WASHINGTON,1.6579
13,473,15:34:53,15:34:53,NORTH TRANSFER: VIA WASHINGTON,1.7845
14,989,15:35:44,15:35:44,NORTH TRANSFER: VIA WASHINGTON,1.9097
15,235,15:36:23,15:36:23,NORTH TRANSFER: VIA WASHINGTON,2.006
16,1163,15:37:11,15:37:11,NORTH TRANSFER: VIA WASHINGTON,2.1259
17,1101,15:38:00,15:38:00,NORTH TRANSFER: VIA WASHINGTON,2.2391
18,1787,15:38:39,15:38:39,NORTH TRANSFER: VIA WASHINGTON,2.3930000000000002
19,1323,15:39:17,15:39:17,NORTH TRANSFER: VIA WASHINGTON,2.5416
20,1579,15:40:07,15:40:07,NORTH TRANSFER: VIA WASHINGTON,2.7367
21,1927,15:41:11,15:41:11,NORTH TRANSFER: VIA WASHINGTON,2.9872
22,1565,15:41:51,15:41:51,NORTH TRANSFER: VIA WASHINGTON,3.1418
23,1199,15:43:00,15:43:00,NORTH TRANSFER: VIA WASHINGTON,3.3958
24,1883,15:43:58,15:43:58,NORTH TRANSFER: VIA WASHINGTON,3.6419
25,1513,15:44:54,15:44:54,NORTH TRANSFER: VIA WASHINGTON,3.8796
26,1849,15:45:58,15:45:58,NORTH TRANSFER: VIA WASHINGTON,4.1519
27,1843,15:46:39,15:46:39,NORTH TRANSFER: VIA WASHINGTON,4.3281
28,1131,15:47:39,15:47:39,NORTH TRANSFER: VIA WASHINGTON,4.5824
29,1675,15:48:08,15:48:08,NORTH TRANSFER: VIA WASHINGTON,4.7068
30,1949,15:48:53,15:48:53,NORTH TRANSFER: VIA WASHINGTON,4.8979
31,1319,15:49:19,15:49:19,NORTH TRANSFER: VIA WASHINGTON,5.0105
32,1635,15:50:01,15:50:01,NORTH TRANSFER: VIA WASHINGTON,5.1908
33,1375,15:50:25,15:50:25,NORTH TRANSFER: VIA WASHINGTON,5.2938
34,1394,15:51:02,15:51:02,NORTH TRANSFER: VIA WASHINGTON,5.4536
35,1427,15:51:42,15:51:42,NORTH TRANSFER,5.6263
36,1380,15:54:08,15:54:08,NORTH TRANSFER,6.2432
37,5100,15:55:00,15:55:00,DROP OFFS ONLY,6.4335
