stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,5100,6:00:00,6:00:00,U.W. CAMPUS: VIA WASHINGTON,0.0088
2,1895,6:01:00,6:01:00,U.W. CAMPUS: VIA WASHINGTON,0.2741
3,1585,6:03:28,6:03:28,U.W. CAMPUS: VIA WASHINGTON,0.9279999999999999
4,1435,6:04:00,6:04:00,U.W. CAMPUS: VIA WASHINGTON,1.0703
5,1766,6:04:29,6:04:29,U.W. CAMPUS: VIA WASHINGTON,1.1995
6,1944,6:05:06,6:05:06,U.W. CAMPUS: VIA WASHINGTON,1.3647
7,1986,6:05:34,6:05:34,U.W. CAMPUS: VIA WASHINGTON,1.4886
8,1704,6:05:58,6:05:58,U.W. CAMPUS: VIA WASHINGTON,1.5976
9,1160,6:06:53,6:06:53,U.W. CAMPUS: VIA WASHINGTON,1.8441
10,1812,6:07:14,6:07:14,U.W. CAMPUS: VIA WASHINGTON,1.9408
11,1624,6:08:25,6:08:25,U.W. CAMPUS: VIA WASHINGTON,2.2576
12,1350,6:09:11,6:09:11,U.W. CAMPUS: VIA WASHINGTON,2.4638
13,1412,6:09:52,6:09:52,U.W. CAMPUS: VIA WASHINGTON,2.6462
14,1730,6:10:56,6:10:56,U.W. CAMPUS: VIA WASHINGTON,2.931
15,1650,6:12:00,6:12:00,U.W. CAMPUS: VIA WASHINGTON,3.1845
16,1660,6:13:13,6:13:13,U.W. CAMPUS: VIA WASHINGTON,3.4319
17,1392,6:13:41,6:13:41,U.W. CAMPUS: VIA WASHINGTON,3.5291
18,1214,6:14:55,6:14:55,U.W. CAMPUS: VIA WASHINGTON,3.7791
19,1618,6:16:14,6:16:14,U.W. CAMPUS: VIA WASHINGTON,4.0469
20,1100,6:17:00,6:17:00,U.W. CAMPUS: VIA WASHINGTON,4.1976
21,1324,6:17:58,6:17:58,U.W. CAMPUS: VIA WASHINGTON,4.3322
22,1790,6:18:49,6:18:49,U.W. CAMPUS: VIA WASHINGTON,4.45
23,168,6:19:16,6:19:16,U.W. CAMPUS: VIA WASHINGTON,4.5124
24,274,6:20:22,6:20:22,U.W. CAMPUS: VIA WASHINGTON,4.6649
25,512,6:21:16,6:21:16,U.W. CAMPUS: VIA WASHINGTON,4.7901
26,418,6:21:58,6:21:58,U.W. CAMPUS: VIA WASHINGTON,4.8886
27,768,6:22:44,6:22:44,U.W. CAMPUS: VIA WASHINGTON,4.9962
28,226,6:24:00,6:24:00,U.W. CAMPUS: VIA WASHINGTON,5.1656
29,608,6:25:38,6:25:38,U.W. CAMPUS: VIA WASHINGTON,5.3714
30,750,6:26:51,6:26:51,U.W. CAMPUS: VIA WASHINGTON,5.5237
31,445,6:28:13,6:28:13,U.W. CAMPUS: VIA WASHINGTON,5.6953
32,837,6:28:45,6:28:45,U.W. CAMPUS: VIA WASHINGTON,5.7624
33,773,6:30:02,6:30:02,U.W. CAMPUS: VIA WASHINGTON,5.9239
34,178,6:31:18,6:31:18,U.W. CAMPUS,6.0831
35,160,6:32:15,6:32:15,U.W. CAMPUS,6.2024
36,47,6:34:00,6:34:00,DROP OFFS ONLY,6.4168
