stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9800,5:25:00,5:25:00,EAST TRANSFER: VIA NAKOOSA,0.0771
2,9996,5:25:47,5:25:47,EAST TRANSFER: VIA NAKOOSA,0.3434
3,9531,5:26:43,5:26:43,EAST TRANSFER: VIA NAKOOSA,0.6563
4,9204,5:28:00,5:28:00,EAST TRANSFER: VIA NAKOOSA,1.0912
5,9276,5:28:30,5:28:30,EAST TRANSFER: VIA NAKOOSA,1.2639
6,9636,5:29:03,5:29:03,EAST TRANSFER: VIA NAKOOSA,1.4499
7,9370,5:29:32,5:29:32,EAST TRANSFER: VIA NAKOOSA,1.6171
8,9420,5:29:52,5:29:52,EAST TRANSFER: VIA NAKOOSA,1.734
9,9892,5:30:20,5:30:20,EAST TRANSFER: VIA NAKOOSA,1.8909
10,9770,5:30:45,5:30:45,EAST TRANSFER: VIA NAKOOSA,2.0325
11,9844,5:31:11,5:31:11,EAST TRANSFER: VIA NAKOOSA,2.1803
12,9176,5:32:02,5:32:02,EAST TRANSFER: VIA NAKOOSA,2.4675
13,9733,5:32:48,5:32:48,EAST TRANSFER: VIA NAKOOSA,2.7272
14,9967,5:33:26,5:33:26,EAST TRANSFER: VIA NAKOOSA,2.94
15,9812,5:34:00,5:34:00,EAST TRANSFER: VIA NAKOOSA,3.0934
16,9479,5:34:31,5:34:31,EAST TRANSFER: VIA NAKOOSA,3.2413
17,7398,5:39:05,5:39:05,EAST TRANSFER,4.513
18,7100,5:40:00,5:40:00,DROP OFFS ONLY,4.7606
