stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7100,22:15:00,22:15:00,TO MARSH: VIA DUTCH MILL,0.0092
2,1270,22:16:06,22:16:06,TO MARSH: VIA DUTCH MILL,0.3488
3,1786,22:16:33,22:16:33,TO MARSH: VIA DUTCH MILL,0.4881
4,1478,22:17:09,22:17:09,TO MARSH: VIA DUTCH MILL,0.6764
5,1890,22:17:36,22:17:36,TO MARSH: VIA DUTCH MILL,0.8185
6,7888,22:18:10,22:18:10,TO MARSH: VIA DUTCH MILL,0.9938
7,7296,22:18:39,22:18:39,TO MARSH: VIA DUTCH MILL,1.1451
8,7182,22:19:00,22:19:00,TO MARSH: VIA DUTCH MILL,1.2531
9,7834,22:19:40,22:19:40,TO MARSH: VIA DUTCH MILL,1.4613
10,7114,22:20:33,22:20:33,TO MARSH: VIA DUTCH MILL,1.7336
11,7605,22:25:00,22:25:00,TO MARSH: VIA DUTCH MILL,3.0895
12,7739,22:25:23,22:25:23,TO MARSH: VIA DUTCH MILL,3.2649
13,7119,22:25:54,22:25:54,TO MARSH: VIA DUTCH MILL,3.4998
14,7351,22:26:22,22:26:22,TO MARSH: VIA DUTCH MILL,3.71
15,7499,22:26:46,22:26:46,TO MARSH: VIA DUTCH MILL,3.8896
16,7391,22:27:19,22:27:19,TO MARSH: VIA DUTCH MILL,4.1389
17,7617,22:27:51,22:27:51,TO MARSH: VIA DUTCH MILL,4.3812
18,7412,22:28:24,22:28:24,TO MARSH: VIA DUTCH MILL,4.6254
19,7458,22:28:44,22:28:44,TO MARSH: VIA DUTCH MILL,4.7793
20,7920,22:29:19,22:29:19,TO MARSH: VIA DUTCH MILL,5.0387
21,7226,22:30:03,22:30:03,TO MARSH: VIA DUTCH MILL,5.3675
22,3854,22:30:48,22:30:48,TO MARSH: VIA DUTCH MILL,5.6988
23,3546,22:31:13,22:31:13,TO MARSH: VIA DUTCH MILL,5.8869
24,3195,22:32:00,22:32:00,TO MARSH: VIA DUTCH MILL,6.1787
25,3721,22:32:36,22:32:36,TO MARSH: VIA DUTCH MILL,6.4349
26,3299,22:33:11,22:33:11,TO MARSH: VIA DUTCH MILL,6.6841
27,3224,22:33:58,22:33:58,TO MARSH,7.021
28,3462,22:34:58,22:34:58,TO MARSH,7.4465
29,3758,22:35:39,22:35:39,TO MARSH,7.7396
30,3620,22:36:07,22:36:07,TO MARSH,7.9396
31,3740,22:37:00,22:37:00,TO MARSH,8.2901
32,3952,22:38:44,22:38:44,TO MARSH,8.8504
33,3311,22:39:48,22:39:48,TO MARSH,9.1981
34,3592,22:40:26,22:40:26,TO MARSH,9.4034
35,3273,22:41:07,22:41:07,TO MARSH,9.6288
36,3645,22:41:51,22:41:51,TO MARSH,9.8661
37,3487,22:42:13,22:42:13,TO MARSH,9.9848
38,3799,22:43:00,22:43:00,DROP OFFS ONLY,10.2227
39,3827,22:43:44,22:43:44,DROP OFFS ONLY,10.4619
40,3153,22:44:45,22:44:45,DROP OFFS ONLY,10.7915
