stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7100,6:15:00,6:15:00,EAST TRANSFER: VIA THOMPSON: VIA ACEWOOD,0.0092
2,7169,6:15:41,6:15:41,EAST TRANSFER: VIA THOMPSON: VIA ACEWOOD,0.263
3,7167,6:16:16,6:16:16,EAST TRANSFER: VIA THOMPSON: VIA ACEWOOD,0.4821
4,7209,6:17:05,6:17:05,EAST TRANSFER: VIA THOMPSON: VIA ACEWOOD,0.7896
5,7633,6:17:24,6:17:24,EAST TRANSFER: VIA THOMPSON: VIA ACEWOOD,0.9103
6,7175,6:17:55,6:17:55,EAST TRANSFER,1.1029
7,7381,6:18:30,6:18:30,EAST TRANSFER,1.3205
8,7913,6:18:58,6:18:58,EAST TRANSFER,1.4995
9,7310,6:19:37,6:19:37,EAST TRANSFER,1.7431
10,7624,6:19:54,6:19:54,EAST TRANSFER,1.8491
11,7230,6:20:25,6:20:25,EAST TRANSFER,2.0421
12,7214,6:21:12,6:21:12,EAST TRANSFER,2.3342
13,7762,6:21:28,6:21:28,EAST TRANSFER,2.4365
14,7154,6:21:51,6:21:51,EAST TRANSFER,2.5796
15,7590,6:22:09,6:22:09,EAST TRANSFER,2.6928
16,7830,6:22:28,6:22:28,EAST TRANSFER,2.8136
17,7825,6:23:00,6:23:00,EAST TRANSFER,2.9756
18,7991,6:23:32,6:23:32,EAST TRANSFER,3.1521
19,7263,6:23:56,6:23:56,EAST TRANSFER,3.2845
20,7906,6:24:18,6:24:18,EAST TRANSFER,3.4091
21,7680,6:25:08,6:25:08,EAST TRANSFER,3.685
22,7840,6:25:42,6:25:42,EAST TRANSFER,3.8733
23,7610,6:26:27,6:26:27,EAST TRANSFER,4.1217
24,7984,6:27:12,6:27:12,EAST TRANSFER,4.3697
25,7213,6:27:45,6:27:45,EAST TRANSFER,4.5518
26,7766,6:28:31,6:28:31,EAST TRANSFER,4.8079
27,7916,6:29:04,6:29:04,EAST TRANSFER,4.99
28,7188,6:29:45,6:29:45,EAST TRANSFER,5.2177
29,7180,6:30:12,6:30:12,EAST TRANSFER,5.37
30,7181,6:31:08,6:31:08,EAST TRANSFER,5.6772
31,7925,6:32:00,6:32:00,EAST TRANSFER,5.9214
32,7313,6:32:28,6:32:28,EAST TRANSFER,6.0407
33,7369,6:33:04,6:33:04,EAST TRANSFER,6.1943
34,7969,6:34:00,6:34:00,EAST TRANSFER,6.4354
35,7943,6:34:50,6:34:50,EAST TRANSFER,6.6504
36,7121,6:35:48,6:35:48,EAST TRANSFER,6.8973
37,7198,6:36:26,6:36:26,EAST TRANSFER,7.0583
38,7842,6:37:01,6:37:01,EAST TRANSFER,7.2076
39,7734,6:38:07,6:38:07,EAST TRANSFER,7.4872
40,7398,6:38:58,6:38:58,EAST TRANSFER,7.7062
41,7100,6:40:00,6:40:00,DROP OFFS ONLY,7.9538
