stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7100,6:45:00,6:45:00,EAST TRANSFER: VIA DEMPSEY: VIA WORLD DAIRY,0.0092
2,7169,6:45:46,6:45:46,EAST TRANSFER: VIA DEMPSEY: VIA WORLD DAIRY,0.263
3,7990,6:46:27,6:46:27,EAST TRANSFER: VIA DEMPSEY: VIA WORLD DAIRY,0.4897
4,7704,6:47:05,6:47:05,EAST TRANSFER: VIA DEMPSEY: VIA WORLD DAIRY,0.7017
5,7638,6:47:36,6:47:36,EAST TRANSFER: VIA DEMPSEY: VIA WORLD DAIRY,0.8758
6,7306,6:48:02,6:48:02,EAST TRANSFER: VIA DEMPSEY: VIA WORLD DAIRY,1.0194
7,7782,6:48:25,6:48:25,EAST TRANSFER: VIA DEMPSEY: VIA WORLD DAIRY,1.1499
8,7374,6:49:00,6:49:00,EAST TRANSFER: VIA DEMPSEY: VIA WORLD DAIRY,1.3201
9,7490,6:49:30,6:49:30,EAST TRANSFER: VIA DEMPSEY: VIA WORLD DAIRY,1.4773
10,7670,6:49:46,6:49:46,EAST TRANSFER: VIA DEMPSEY: VIA WORLD DAIRY,1.5637
11,7658,6:50:16,6:50:16,EAST TRANSFER: VIA DEMPSEY: VIA WORLD DAIRY,1.7207
12,7823,6:50:47,6:50:47,EAST TRANSFER: VIA DEMPSEY: VIA WORLD DAIRY,1.8829
13,7557,6:51:19,6:51:19,EAST TRANSFER: VIA DEMPSEY: VIA WORLD DAIRY,2.0518
14,7247,6:52:00,6:52:00,EAST TRANSFER: VIA DEMPSEY: VIA WORLD DAIRY,2.2696
15,7689,6:52:22,6:52:22,EAST TRANSFER: VIA DEMPSEY: VIA WORLD DAIRY,2.3889
16,7235,6:53:00,6:53:00,EAST TRANSFER: VIA WORLD DAIRY,2.565
17,7168,6:53:44,6:53:44,EAST TRANSFER: VIA WORLD DAIRY,2.8667
18,7277,6:54:36,6:54:36,EAST TRANSFER: VIA WORLD DAIRY,3.2214
19,7199,6:55:16,6:55:16,EAST TRANSFER: VIA WORLD DAIRY,3.495
20,7391,6:56:00,6:56:00,EAST TRANSFER: VIA WORLD DAIRY,3.7969999999999997
21,7617,6:56:35,6:56:35,EAST TRANSFER: VIA WORLD DAIRY,4.0394
22,7815,6:58:00,6:58:00,EAST TRANSFER: VIA WORLD DAIRY,4.5875
23,7417,6:58:28,6:58:28,EAST TRANSFER: VIA WORLD DAIRY,4.7683
24,7331,6:59:04,6:59:04,EAST TRANSFER: VIA WORLD DAIRY,4.9999
25,7569,6:59:28,6:59:28,EAST TRANSFER: VIA WORLD DAIRY,5.1545
26,7987,6:59:52,6:59:52,EAST TRANSFER: VIA WORLD DAIRY,5.3075
27,7583,7:00:22,7:00:22,EAST TRANSFER: VIA WORLD DAIRY,5.499
28,7223,7:00:47,7:00:47,EAST TRANSFER: VIA WORLD DAIRY,5.6593
29,7861,7:01:15,7:01:15,EAST TRANSFER: VIA WORLD DAIRY,5.8401
30,7324,7:01:53,7:01:53,EAST TRANSFER: VIA WORLD DAIRY,6.0857
31,7544,7:02:27,7:02:27,EAST TRANSFER: VIA WORLD DAIRY,6.3026
32,7968,7:02:48,7:02:48,EAST TRANSFER: VIA WORLD DAIRY,6.4374
33,7206,7:03:16,7:03:16,EAST TRANSFER: VIA WORLD DAIRY,6.619
34,7538,7:04:00,7:04:00,EAST TRANSFER: VIA WORLD DAIRY,6.8548
35,7398,7:11:06,7:11:06,EAST TRANSFER: VIA WORLD DAIRY,8.8474
36,7100,7:12:00,7:12:00,DROP OFFS ONLY,9.095
