stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,16:30:00,16:30:00,U.W. CAMPUS,0.0074
2,475,16:31:05,16:31:05,U.W. CAMPUS,0.3919
3,181,16:33:11,16:33:11,U.W. CAMPUS,1.1333
4,251,16:35:00,16:35:00,U.W. CAMPUS,1.7632
5,715,16:36:50,16:36:50,U.W. CAMPUS,2.1243
6,561,16:38:45,16:38:45,U.W. CAMPUS,2.5032
7,100,16:39:49,16:39:49,U.W. CAMPUS,2.7132
8,234,16:40:27,16:40:27,U.W. CAMPUS,2.84
9,178,16:41:15,16:41:15,U.W. CAMPUS,2.9991
10,160,16:41:51,16:41:51,U.W. CAMPUS,3.1184
11,692,16:43:06,16:43:06,U.W. CAMPUS,3.3656
12,2806,16:44:06,16:44:06,U.W. CAMPUS,3.5633
13,2146,16:45:04,16:45:04,U.W. CAMPUS,3.755
14,2192,16:45:59,16:45:59,U.W. CAMPUS,3.9355
15,2643,16:47:00,16:47:00,DROP OFFS ONLY,4.1231
