stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,15:53:00,15:53:00,SOUTH TRANSFER: VIA LACY: VIA HATCHERY HILL,0.0074
2,4970,15:57:00,15:57:00,SOUTH TRANSFER: VIA HATCHERY HILL,2.6214
3,4120,15:57:42,15:57:42,SOUTH TRANSFER: VIA HATCHERY HILL,2.8517
4,4552,15:58:11,15:58:11,SOUTH TRANSFER: VIA HATCHERY HILL,3.0123
5,4648,15:58:57,15:58:57,SOUTH TRANSFER: VIA HATCHERY HILL,3.2639
6,4722,15:59:35,15:59:35,SOUTH TRANSFER: VIA HATCHERY HILL,3.4696
7,4520,16:01:50,16:01:50,SOUTH TRANSFER: VIA HATCHERY HILL,4.197
8,4194,16:02:18,16:02:18,SOUTH TRANSFER: VIA HATCHERY HILL,4.3495
9,4550,16:03:11,16:03:11,SOUTH TRANSFER: VIA HATCHERY HILL,4.6336
10,4766,16:04:00,16:04:00,SOUTH TRANSFER: VIA HATCHERY HILL,4.8712
11,4625,16:04:32,16:04:32,SOUTH TRANSFER: VIA HATCHERY HILL,5.0216
12,4821,16:05:25,16:05:25,SOUTH TRANSFER: VIA HATCHERY HILL,5.2642
13,4824,16:06:16,16:06:16,SOUTH TRANSFER: VIA HATCHERY HILL,5.4999
14,4163,16:07:22,16:07:22,SOUTH TRANSFER: VIA HATCHERY HILL,5.8052
15,4301,16:08:02,16:08:02,SOUTH TRANSFER: VIA HATCHERY HILL,5.9889
16,4436,16:08:47,16:08:47,SOUTH TRANSFER: VIA HATCHERY HILL,6.1959
17,4197,16:09:07,16:09:07,SOUTH TRANSFER: VIA HATCHERY HILL,6.2905
18,4981,16:10:57,16:10:57,SOUTH TRANSFER: VIA HATCHERY HILL,6.7931
19,4182,16:13:00,16:13:00,SOUTH TRANSFER: VIA HATCHERY HILL,7.334
20,4788,16:13:34,16:13:34,SOUTH TRANSFER: VIA HATCHERY HILL,7.4899
21,4699,16:14:11,16:14:11,SOUTH TRANSFER: VIA HATCHERY HILL,7.6579999999999995
22,4707,16:14:29,16:14:29,SOUTH TRANSFER,7.742000000000001
23,4941,16:15:04,16:15:04,SOUTH TRANSFER,7.8992
24,4637,16:15:57,16:15:57,SOUTH TRANSFER,8.1408
25,4523,16:16:43,16:16:43,SOUTH TRANSFER,8.3481
26,4175,16:17:20,16:17:20,SOUTH TRANSFER,8.5181
27,4443,16:18:09,16:18:09,SOUTH TRANSFER,8.7386
28,353,16:20:14,16:20:14,SOUTH TRANSFER,9.3034
29,4100,16:22:00,16:22:00,DROP OFFS ONLY,9.7558
