stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,5:20:00,5:20:00,NORTH TRANSFER,0.0074
2,590,5:20:47,5:20:47,NORTH TRANSFER,0.2577
3,782,5:21:26,5:21:26,NORTH TRANSFER,0.4678
4,499,5:21:49,5:21:49,NORTH TRANSFER,0.5915
5,405,5:22:27,5:22:27,NORTH TRANSFER,0.7956
6,391,5:23:00,5:23:00,NORTH TRANSFER,0.9764
7,845,5:24:11,5:24:11,NORTH TRANSFER,1.358
8,843,5:24:44,5:24:44,NORTH TRANSFER,1.5377
9,915,5:25:20,5:25:20,NORTH TRANSFER,1.7343
10,519,5:26:00,5:26:00,NORTH TRANSFER,1.9246
11,904,5:26:59,5:26:59,NORTH TRANSFER,2.1632
12,300,5:27:32,5:27:32,NORTH TRANSFER,2.2955
13,375,5:28:36,5:28:36,NORTH TRANSFER,2.5516
14,167,5:29:06,5:29:06,NORTH TRANSFER,2.674
15,731,5:29:54,5:29:54,NORTH TRANSFER,2.8685
16,445,5:30:27,5:30:27,NORTH TRANSFER,3.0015
17,837,5:30:43,5:30:43,NORTH TRANSFER,3.0686
18,743,5:31:09,5:31:09,NORTH TRANSFER,3.1755
19,455,5:32:00,5:32:00,NORTH TRANSFER,3.3583
20,765,5:33:20,5:33:20,NORTH TRANSFER,3.5628
21,265,5:34:19,5:34:19,NORTH TRANSFER,3.7132
22,505,5:35:22,5:35:22,NORTH TRANSFER,3.8736
23,549,5:35:55,5:35:55,NORTH TRANSFER,3.9575
24,803,5:36:29,5:36:29,NORTH TRANSFER,4.0445
25,883,5:37:10,5:37:10,NORTH TRANSFER,4.1508
26,1324,5:37:55,5:37:55,NORTH TRANSFER,4.2663
27,1101,5:39:00,5:39:00,NORTH TRANSFER,4.4214
28,1823,5:39:29,5:39:29,NORTH TRANSFER,4.5347
29,1737,5:40:01,5:40:01,NORTH TRANSFER,4.6581
30,1839,5:40:49,5:40:49,NORTH TRANSFER,4.8424
31,1509,5:41:50,5:41:50,NORTH TRANSFER,5.0759
32,1167,5:42:31,5:42:31,NORTH TRANSFER,5.2328
33,1615,5:42:51,5:42:51,NORTH TRANSFER,5.3115
34,1959,5:43:31,5:43:31,NORTH TRANSFER,5.4648
35,1505,5:44:00,5:44:00,NORTH TRANSFER,5.5607
36,1559,5:44:29,5:44:29,NORTH TRANSFER,5.6867
37,1689,5:44:58,5:44:58,NORTH TRANSFER,5.8116
38,1213,5:45:48,5:45:48,NORTH TRANSFER,6.0291
39,1645,5:46:17,5:46:17,NORTH TRANSFER,6.1559
40,1935,5:46:42,5:46:42,NORTH TRANSFER,6.2632
41,1901,5:47:24,5:47:24,NORTH TRANSFER,6.4463
42,1499,5:48:00,5:48:00,NORTH TRANSFER,6.5888
43,1575,5:48:33,5:48:33,NORTH TRANSFER,6.7441
44,1343,5:48:53,5:48:53,NORTH TRANSFER,6.837000000000001
45,1659,5:49:15,5:49:15,NORTH TRANSFER,6.9423
46,1233,5:49:56,5:49:56,NORTH TRANSFER,7.1339999999999995
47,1311,5:50:35,5:50:35,NORTH TRANSFER,7.3187
48,1777,5:52:00,5:52:00,NORTH TRANSFER,7.699
49,1973,5:52:33,5:52:33,NORTH TRANSFER,7.8758
50,1326,5:52:55,5:52:55,NORTH TRANSFER,7.9983
51,1852,5:53:14,5:53:14,NORTH TRANSFER,8.1052
52,1394,5:53:54,5:53:54,NORTH TRANSFER,8.324
53,1427,5:54:26,5:54:26,NORTH TRANSFER,8.4966
54,1380,5:56:21,5:56:21,NORTH TRANSFER,9.1135
55,5100,5:57:00,5:57:00,DROP OFFS ONLY,9.3039
