stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4100,5:34:00,5:34:00,EAST TRANSFER,0.0074
2,475,5:35:30,5:35:30,EAST TRANSFER,0.3919
3,709,5:36:15,5:36:15,EAST TRANSFER,0.5858
4,195,5:36:58,5:36:58,EAST TRANSFER,0.7685
5,749,5:37:31,5:37:31,EAST TRANSFER,0.9083
6,181,5:38:24,5:38:24,EAST TRANSFER,1.1333
7,107,5:39:04,5:39:04,EAST TRANSFER,1.3044
8,519,5:40:00,5:40:00,EAST TRANSFER,1.5314
9,251,5:41:26,5:41:26,EAST TRANSFER,1.7632
10,633,5:42:56,5:42:56,EAST TRANSFER,2.0055
11,113,5:43:58,5:43:58,EAST TRANSFER,2.1734
12,225,5:44:36,5:44:36,EAST TRANSFER,2.2775
13,469,5:45:29,5:45:29,EAST TRANSFER,2.4214
14,967,5:46:21,5:46:21,EAST TRANSFER,2.5629
15,473,5:47:08,5:47:08,EAST TRANSFER,2.6894
16,989,5:47:54,5:47:54,EAST TRANSFER,2.8147
17,235,5:48:29,5:48:29,EAST TRANSFER,2.9109
18,1163,5:49:13,5:49:13,EAST TRANSFER,3.0309
19,1101,5:50:00,5:50:00,EAST TRANSFER,3.1441
20,1787,5:50:57,5:50:57,EAST TRANSFER,3.298
21,1495,5:51:38,5:51:38,EAST TRANSFER,3.4079
22,1227,5:53:00,5:53:00,EAST TRANSFER,3.628
23,1831,5:54:04,5:54:04,EAST TRANSFER,3.8021
24,1397,5:54:50,5:54:50,EAST TRANSFER,3.9277
25,1121,5:55:22,5:55:22,EAST TRANSFER,4.0152
26,1151,5:56:22,5:56:22,EAST TRANSFER,4.1773
27,1209,5:58:00,5:58:00,EAST TRANSFER,4.4296
28,1325,5:58:52,5:58:52,EAST TRANSFER,4.6788
29,1267,5:59:18,5:59:18,EAST TRANSFER,4.805
30,1333,6:00:06,6:00:06,EAST TRANSFER,5.0335
31,1843,6:00:32,6:00:32,EAST TRANSFER,5.1581
32,1131,6:01:25,6:01:25,EAST TRANSFER,5.4125
33,1675,6:01:51,6:01:51,EAST TRANSFER,5.5369
34,1949,6:02:31,6:02:31,EAST TRANSFER,5.728
35,1319,6:02:54,6:02:54,EAST TRANSFER,5.8405
36,1518,6:03:33,6:03:33,EAST TRANSFER,6.0267
37,1598,6:04:00,6:04:00,EAST TRANSFER,6.1328
38,1293,6:04:26,6:04:26,EAST TRANSFER,6.2469
39,1137,6:05:07,6:05:07,EAST TRANSFER,6.4279
40,1975,6:05:40,6:05:40,EAST TRANSFER,6.5734
41,1919,6:06:15,6:06:15,EAST TRANSFER,6.7257
42,1855,6:06:53,6:06:53,EAST TRANSFER,6.8911
43,1751,6:07:36,6:07:36,EAST TRANSFER,7.0806
44,1309,6:08:11,6:08:11,EAST TRANSFER,7.2343
45,1105,6:08:45,6:08:45,EAST TRANSFER,7.3848
46,7100,6:10:00,6:10:00,DROP OFFS ONLY,7.6852
