stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,7100,5:25:00,5:25:00,SOUTH TRANSFER,0.0092
2,1886,5:26:06,5:26:06,SOUTH TRANSFER,0.3451
3,1206,5:26:33,5:26:33,SOUTH TRANSFER,0.4819
4,1462,5:27:06,5:27:06,SOUTH TRANSFER,0.6518
5,1220,5:27:35,5:27:35,SOUTH TRANSFER,0.8009999999999999
6,1848,5:28:09,5:28:09,SOUTH TRANSFER,0.975
7,1482,5:28:33,5:28:33,SOUTH TRANSFER,1.0993
8,1746,5:29:09,5:29:09,SOUTH TRANSFER,1.2821
9,1301,5:30:00,5:30:00,SOUTH TRANSFER,1.5148
10,1944,5:30:46,5:30:46,SOUTH TRANSFER,1.7119
11,1986,5:31:15,5:31:15,SOUTH TRANSFER,1.8359
12,1704,5:31:40,5:31:40,SOUTH TRANSFER,1.9449
13,1160,5:32:37,5:32:37,SOUTH TRANSFER,2.1915
14,1812,5:32:59,5:32:59,SOUTH TRANSFER,2.2881
15,1780,5:34:10,5:34:10,SOUTH TRANSFER,2.5948
16,1892,5:34:40,5:34:40,SOUTH TRANSFER,2.7255
17,1798,5:35:24,5:35:24,SOUTH TRANSFER,2.9149
18,1250,5:36:00,5:36:00,SOUTH TRANSFER,3.0722
19,1636,5:37:00,5:37:00,SOUTH TRANSFER,3.3058
20,1834,5:38:12,5:38:12,SOUTH TRANSFER,3.5594
21,1996,5:38:46,5:38:46,SOUTH TRANSFER,3.6816
22,1662,5:39:29,5:39:29,SOUTH TRANSFER,3.8354
23,1138,5:39:56,5:39:56,SOUTH TRANSFER,3.932
24,1404,5:40:36,5:40:36,SOUTH TRANSFER,4.0734
25,1966,5:41:01,5:41:01,SOUTH TRANSFER,4.1616
26,1100,5:42:00,5:42:00,SOUTH TRANSFER,4.359
27,1324,5:42:37,5:42:37,SOUTH TRANSFER,4.4936
28,1790,5:43:09,5:43:09,SOUTH TRANSFER,4.6114
29,168,5:43:26,5:43:26,SOUTH TRANSFER,4.6738
30,274,5:44:08,5:44:08,SOUTH TRANSFER,4.8263
31,512,5:44:42,5:44:42,SOUTH TRANSFER,4.9515
32,418,5:45:09,5:45:09,SOUTH TRANSFER,5.0499
33,768,5:45:38,5:45:38,SOUTH TRANSFER,5.1576
34,516,5:46:13,5:46:13,SOUTH TRANSFER,5.2858
35,770,5:46:58,5:46:58,SOUTH TRANSFER,5.4505
36,840,5:47:55,5:47:55,SOUTH TRANSFER,5.6578
37,288,5:49:00,5:49:00,SOUTH TRANSFER,5.8827
38,174,5:50:03,5:50:03,SOUTH TRANSFER,6.1295
39,362,5:50:58,5:50:58,SOUTH TRANSFER,6.3456
40,890,5:51:35,5:51:35,SOUTH TRANSFER,6.4892
41,124,5:52:31,5:52:31,SOUTH TRANSFER,6.7085
42,582,5:53:07,5:53:07,SOUTH TRANSFER,6.8502
43,730,5:53:53,5:53:53,SOUTH TRANSFER,7.0317
44,906,5:54:43,5:54:43,SOUTH TRANSFER,7.2268
45,4100,5:56:00,5:56:00,DROP OFFS ONLY,7.5096
