stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,6:00:00,6:00:00,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,0.0097
2,2939,6:01:02,6:01:02,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,0.2648
3,2323,6:01:57,6:01:57,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,0.4904
4,2417,6:02:24,6:02:24,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,0.6047
5,2161,6:03:25,6:03:25,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,0.8551
6,2615,6:04:10,6:04:10,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,1.0422
7,2111,6:05:05,6:05:05,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,1.2672
8,2233,6:05:43,6:05:43,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,1.4239
9,2431,6:06:19,6:06:19,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,1.5743
10,2889,6:07:00,6:07:00,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,1.7252
11,2387,6:07:27,6:07:27,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,1.8818
12,2437,6:07:56,6:07:56,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,2.0533
13,2737,6:08:25,6:08:25,E TOWNE: VIA MADISON COLLEGE,2.2254
14,2659,6:08:55,6:08:55,E TOWNE: VIA MADISON COLLEGE,2.4028
15,2231,6:09:18,6:09:18,E TOWNE: VIA MADISON COLLEGE,2.5368
16,2137,6:09:48,6:09:48,E TOWNE: VIA MADISON COLLEGE,2.7126
17,2377,6:10:59,6:10:59,E TOWNE: VIA MADISON COLLEGE,3.1258
18,2773,6:11:14,6:11:14,E TOWNE: VIA MADISON COLLEGE,3.2127
19,2899,6:11:37,6:11:37,E TOWNE: VIA MADISON COLLEGE,3.347
20,2949,6:11:58,6:11:58,E TOWNE: VIA MADISON COLLEGE,3.4738
21,2691,6:12:37,6:12:37,E TOWNE: VIA MADISON COLLEGE,3.6994
22,533,6:13:02,6:13:02,E TOWNE: VIA MADISON COLLEGE,3.8455
23,971,6:13:39,6:13:39,E TOWNE: VIA MADISON COLLEGE,4.0618
24,585,6:13:58,6:13:58,E TOWNE: VIA MADISON COLLEGE,4.1736
25,327,6:14:26,6:14:26,E TOWNE: VIA MADISON COLLEGE,4.3383
26,115,6:15:00,6:15:00,E TOWNE: VIA MADISON COLLEGE,4.5018
27,483,6:16:01,6:16:01,E TOWNE: VIA MADISON COLLEGE,4.5906
28,561,6:17:16,6:17:16,E TOWNE: VIA MADISON COLLEGE,4.6995
29,455,6:18:37,6:18:37,E TOWNE: VIA MADISON COLLEGE,4.8159
30,765,6:20:59,6:20:59,E TOWNE: VIA MADISON COLLEGE,5.0204
31,265,6:22:43,6:22:43,E TOWNE: VIA MADISON COLLEGE,5.1709
32,505,6:24:34,6:24:34,E TOWNE: VIA MADISON COLLEGE,5.3313
33,549,6:25:32,6:25:32,E TOWNE: VIA MADISON COLLEGE,5.4152
34,803,6:26:32,6:26:32,E TOWNE: VIA MADISON COLLEGE,5.5022
35,883,6:27:46,6:27:46,E TOWNE: VIA MADISON COLLEGE,5.6085
36,1324,6:29:06,6:29:06,E TOWNE: VIA MADISON COLLEGE,5.7241
37,1101,6:31:00,6:31:00,E TOWNE: VIA MADISON COLLEGE,5.879
38,1787,6:31:47,6:31:47,E TOWNE: VIA MADISON COLLEGE,6.0329999999999995
39,1323,6:32:33,6:32:33,E TOWNE: VIA MADISON COLLEGE,6.1815
40,1579,6:33:33,6:33:33,E TOWNE: VIA MADISON COLLEGE,6.3766
41,1927,6:34:50,6:34:50,E TOWNE: VIA MADISON COLLEGE,6.6271
42,1565,6:35:38,6:35:38,E TOWNE: VIA MADISON COLLEGE,6.7818
43,1199,6:37:00,6:37:00,E TOWNE: VIA MADISON COLLEGE,7.0357
44,1883,6:37:49,6:37:49,E TOWNE: VIA MADISON COLLEGE,7.2818
45,1513,6:38:37,6:38:37,E TOWNE: VIA MADISON COLLEGE,7.5195
46,1241,6:39:22,6:39:22,E TOWNE: VIA MADISON COLLEGE,7.7424
47,1107,6:39:55,6:39:55,E TOWNE: VIA MADISON COLLEGE,7.9049
48,1141,6:40:38,6:40:38,E TOWNE: VIA MADISON COLLEGE,8.1167
49,1233,6:41:28,6:41:28,E TOWNE: VIA MADISON COLLEGE,8.3646
50,1311,6:42:05,6:42:05,E TOWNE: VIA MADISON COLLEGE,8.5493
51,1269,6:43:00,6:43:00,E TOWNE: VIA MADISON COLLEGE,8.8075
52,1481,6:44:03,6:44:03,E TOWNE: VIA MADISON COLLEGE,8.9926
53,1757,6:45:03,6:45:03,E TOWNE: VIA MADISON COLLEGE,9.1667
54,9339,6:46:42,6:46:42,E TOWNE: VIA MADISON COLLEGE,9.4547
55,9135,6:47:42,6:47:42,E TOWNE: VIA MADISON COLLEGE,9.6309
56,9405,6:49:07,6:49:07,E TOWNE: VIA MADISON COLLEGE,9.8801
57,9171,6:50:27,6:50:27,E TOWNE: VIA MADISON COLLEGE,10.1141
58,9101,6:52:00,6:52:00,E TOWNE: VIA MADISON COLLEGE,10.3727
