stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,9285,5:04:44,5:04:44,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,0.0263
2,9857,5:05:00,5:05:00,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,0.1482
3,9211,5:05:16,5:05:16,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,0.2745
4,9977,5:05:43,5:05:43,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,0.4856
5,9186,5:06:16,5:06:16,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,0.736
6,9396,5:06:38,5:06:38,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,0.9038
7,9834,5:07:04,5:07:04,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,1.1008
8,9132,5:07:29,5:07:29,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,1.2928
9,9154,5:07:59,5:07:59,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,1.5262
10,9494,5:08:35,5:08:35,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,1.8027
11,9282,5:08:48,5:08:48,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,1.9021
12,9313,5:09:21,5:09:21,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,2.1557
13,9463,5:09:38,5:09:38,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,2.2842
14,9545,5:10:00,5:10:00,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,2.4119
15,9566,5:10:26,5:10:26,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,2.5497
16,9588,5:10:43,5:10:43,WEST TRANSFER: VIA HAYES: VIA MINERAL POINT,2.642
17,9810,5:11:12,5:11:12,WEST TRANSFER: VIA MINERAL POINT,2.7949
18,9152,5:12:14,5:12:14,WEST TRANSFER: VIA MINERAL POINT,3.1148
19,9984,5:12:52,5:12:52,WEST TRANSFER: VIA MINERAL POINT,3.3134
20,9554,5:13:39,5:13:39,WEST TRANSFER: VIA MINERAL POINT,3.5601
21,9874,5:14:03,5:14:03,WEST TRANSFER: VIA MINERAL POINT,3.6847
22,9750,5:14:50,5:14:50,WEST TRANSFER: VIA MINERAL POINT,3.9286
23,9344,5:15:11,5:15:11,WEST TRANSFER: VIA MINERAL POINT,4.0378
24,9322,5:15:37,5:15:37,WEST TRANSFER: VIA MINERAL POINT,4.1764
25,9172,5:16:19,5:16:19,WEST TRANSFER: VIA MINERAL POINT,4.3979
26,9552,5:16:43,5:16:43,WEST TRANSFER: VIA MINERAL POINT,4.5236
27,1164,5:17:38,5:17:38,WEST TRANSFER: VIA MINERAL POINT,4.8102
28,1938,5:18:11,5:18:11,WEST TRANSFER: VIA MINERAL POINT,4.9831
29,1280,5:19:00,5:19:00,WEST TRANSFER: VIA MINERAL POINT,5.1956
30,1112,5:19:52,5:19:52,WEST TRANSFER: VIA MINERAL POINT,5.4564
31,1846,5:20:29,5:20:29,WEST TRANSFER: VIA MINERAL POINT,5.6403
32,1488,5:21:05,5:21:05,WEST TRANSFER: VIA MINERAL POINT,5.821000000000001
33,1382,5:21:55,5:21:55,WEST TRANSFER: VIA MINERAL POINT,6.0693
34,1350,5:22:32,5:22:32,WEST TRANSFER: VIA MINERAL POINT,6.2534
35,1412,5:23:08,5:23:08,WEST TRANSFER: VIA MINERAL POINT,6.4359
36,1730,5:24:05,5:24:05,WEST TRANSFER: VIA MINERAL POINT,6.7206
37,1650,5:25:00,5:25:00,WEST TRANSFER: VIA MINERAL POINT,6.9742
38,1660,5:26:42,5:26:42,WEST TRANSFER: VIA MINERAL POINT,7.2216
39,1392,5:27:22,5:27:22,WEST TRANSFER: VIA MINERAL POINT,7.3187
40,1214,5:29:05,5:29:05,WEST TRANSFER: VIA MINERAL POINT,7.5688
41,1618,5:30:56,5:30:56,WEST TRANSFER: VIA MINERAL POINT,7.8366
42,1100,5:32:00,5:32:00,WEST TRANSFER: VIA MINERAL POINT,7.9873
43,1310,5:32:51,5:32:51,WEST TRANSFER: VIA MINERAL POINT,8.0941
44,1558,5:33:36,5:33:36,WEST TRANSFER: VIA MINERAL POINT,8.189
45,898,5:34:18,5:34:18,WEST TRANSFER: VIA MINERAL POINT,8.2767
46,252,5:34:59,5:34:59,WEST TRANSFER: VIA MINERAL POINT,8.3637
47,688,5:35:39,5:35:39,WEST TRANSFER: VIA MINERAL POINT,8.4476
48,506,5:36:40,5:36:40,WEST TRANSFER: VIA MINERAL POINT,8.575
49,926,5:38:03,5:38:03,WEST TRANSFER: VIA MINERAL POINT,8.7485
50,538,5:40:00,5:40:00,WEST TRANSFER: VIA MINERAL POINT,8.9876
51,180,5:40:23,5:40:23,WEST TRANSFER: VIA MINERAL POINT,9.0998
52,388,5:40:47,5:40:47,WEST TRANSFER: VIA MINERAL POINT,9.2143
53,962,5:41:18,5:41:18,WEST TRANSFER: VIA MINERAL POINT,9.3616
54,548,5:41:49,5:41:49,WEST TRANSFER: VIA MINERAL POINT,9.5095
55,208,5:42:17,5:42:17,WEST TRANSFER: VIA MINERAL POINT,9.6456
56,398,5:42:40,5:42:40,WEST TRANSFER: VIA MINERAL POINT,9.7575
57,406,5:43:32,5:43:32,WEST TRANSFER: VIA MINERAL POINT,10.0049
58,2850,5:44:03,5:44:03,WEST TRANSFER: VIA MINERAL POINT,10.1522
59,2700,5:44:44,5:44:44,WEST TRANSFER: VIA MINERAL POINT,10.3455
60,2164,5:45:16,5:45:16,WEST TRANSFER: VIA MINERAL POINT,10.5008
61,2702,5:45:40,5:45:40,WEST TRANSFER: VIA MINERAL POINT,10.6165
62,2672,5:46:14,5:46:14,WEST TRANSFER: VIA MINERAL POINT,10.7812
63,2496,5:47:19,5:47:19,WEST TRANSFER: VIA MINERAL POINT,11.0897
64,2374,5:47:52,5:47:52,WEST TRANSFER: VIA MINERAL POINT,11.2492
65,2470,5:48:29,5:48:29,WEST TRANSFER: VIA MINERAL POINT,11.4268
66,2134,5:49:05,5:49:05,WEST TRANSFER: VIA MINERAL POINT,11.5982
67,2890,5:49:23,5:49:23,WEST TRANSFER: VIA MINERAL POINT,11.6852
68,2734,5:50:02,5:50:02,WEST TRANSFER: VIA MINERAL POINT,11.8729
69,2638,5:51:00,5:51:00,WEST TRANSFER: VIA MINERAL POINT,12.0954
70,2472,5:51:27,5:51:27,WEST TRANSFER: VIA MINERAL POINT,12.2371
71,2250,5:52:02,5:52:02,WEST TRANSFER: VIA MINERAL POINT,12.4192
72,2980,5:52:30,5:52:30,WEST TRANSFER: VIA MINERAL POINT,12.5671
73,2320,5:53:11,5:53:11,WEST TRANSFER: VIA MINERAL POINT,12.7827
74,2982,5:54:10,5:54:10,WEST TRANSFER: VIA MINERAL POINT,13.0889
75,2488,5:54:47,5:54:47,WEST TRANSFER: VIA MINERAL POINT,13.2834
76,2344,5:55:21,5:55:21,WEST TRANSFER: VIA MINERAL POINT,13.4623
77,2984,5:56:05,5:56:05,WEST TRANSFER: VIA MINERAL POINT,13.690999999999999
78,6100,5:57:00,5:57:00,DROP OFFS ONLY,13.9481
