stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,1101,6:40:00,6:40:00,MIDDLETON: VIA ALLEN,0.0227
2,1787,6:40:44,6:40:44,MIDDLETON: VIA ALLEN,0.1766
3,1100,6:41:28,6:41:28,MIDDLETON: VIA ALLEN,0.3287
4,1310,6:41:59,6:41:59,MIDDLETON: VIA ALLEN,0.4355
5,1558,6:42:26,6:42:26,MIDDLETON: VIA ALLEN,0.5304
6,898,6:42:51,6:42:51,MIDDLETON: VIA ALLEN,0.618
7,252,6:43:16,6:43:16,MIDDLETON: VIA ALLEN,0.705
8,568,6:44:40,6:44:40,MIDDLETON: VIA ALLEN,0.9959
9,670,6:45:06,6:45:06,MIDDLETON: VIA ALLEN,1.0867
10,100,6:46:00,6:46:00,MIDDLETON: VIA ALLEN,1.2564
11,234,6:46:24,6:46:24,MIDDLETON: VIA ALLEN,1.3831
12,178,6:46:54,6:46:54,MIDDLETON: VIA ALLEN,1.5423
13,160,6:47:16,6:47:16,MIDDLETON: VIA ALLEN,1.6616
14,2698,6:51:23,6:51:23,MIDDLETON: VIA ALLEN,2.9537
15,2270,6:52:03,6:52:03,MIDDLETON: VIA ALLEN,3.1635
16,2200,6:54:09,6:54:09,MIDDLETON: VIA ALLEN,3.8251
17,2370,6:55:00,6:55:00,MIDDLETON: VIA ALLEN,4.0768
18,2790,6:56:04,6:56:04,MIDDLETON: VIA ALLEN,4.6622
19,2867,6:56:22,6:56:22,MIDDLETON: VIA ALLEN,4.8352
20,2193,6:56:42,6:56:42,MIDDLETON: VIA ALLEN,5.0215
21,2197,6:57:03,6:57:03,MIDDLETON: VIA ALLEN,5.2133
22,6243,6:57:25,6:57:25,MIDDLETON: VIA ALLEN,5.4153
23,6569,6:58:05,6:58:05,MIDDLETON: VIA ALLEN,5.7829
24,6439,6:58:28,6:58:28,MIDDLETON: VIA ALLEN,5.999
25,6171,6:59:00,6:59:00,MIDDLETON: VIA ALLEN,6.2649
26,6301,6:59:32,6:59:32,MIDDLETON: VIA ALLEN,6.4419
27,6691,7:00:21,7:00:21,MIDDLETON: VIA ALLEN,6.7072
28,6205,7:01:00,7:01:00,MIDDLETON: VIA ALLEN,6.9218
29,6676,7:01:21,7:01:21,MIDDLETON: VIA ALLEN,7.04
30,6628,7:02:15,7:02:15,MIDDLETON: VIA ALLEN,7.3329
31,6288,7:03:14,7:03:14,MIDDLETON: VIA ALLEN,7.6515
32,6388,7:03:55,7:03:55,MIDDLETON: VIA ALLEN,7.8729
33,6684,7:05:00,7:05:00,MIDDLETON: VIA ALLEN,8.2057
34,6264,7:05:40,7:05:40,MIDDLETON: VIA ALLEN,8.384
35,6704,7:06:21,7:06:21,MIDDLETON: VIA ALLEN,8.5636
36,6922,7:07:43,7:07:43,MIDDLETON: VIA ALLEN,8.9247
37,6232,7:09:16,7:09:16,MIDDLETON: VIA ALLEN,9.3342
38,6908,7:11:18,7:11:18,MIDDLETON: VIA ALLEN,9.8675
39,6652,7:12:02,7:12:02,MIDDLETON: VIA ALLEN,10.0609
40,6182,7:13:00,7:13:00,MIDDLETON: VIA ALLEN,10.2976
41,6438,7:13:32,7:13:32,MIDDLETON: VIA ALLEN,10.4309
42,6270,7:15:29,7:15:29,MIDDLETON: VIA ALLEN,10.9172
43,6845,7:19:56,7:19:56,MIDDLETON: VIA ALLEN,12.0198
44,6163,7:20:32,7:20:32,MIDDLETON: VIA ALLEN,12.1711
45,6415,7:21:26,7:21:26,MIDDLETON: VIA ALLEN,12.3954
46,6656,7:22:35,7:22:35,MIDDLETON,12.6816
47,6304,7:23:17,7:23:17,MIDDLETON,12.8581
48,6958,7:23:51,7:23:51,MIDDLETON,13.0011
49,6476,7:25:00,7:25:00,DROP OFFS ONLY,13.2689
