stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,1101,14:50:00,14:50:00,MIDDLETON: VIA BRANCH,0.0227
2,1787,14:51:14,14:51:14,MIDDLETON: VIA BRANCH,0.1766
3,1100,14:52:27,14:52:27,MIDDLETON: VIA BRANCH,0.3287
4,1310,14:53:18,14:53:18,MIDDLETON: VIA BRANCH,0.4355
5,1558,14:54:04,14:54:04,MIDDLETON: VIA BRANCH,0.5304
6,898,14:54:46,14:54:46,MIDDLETON: VIA BRANCH,0.618
7,252,14:55:28,14:55:28,MIDDLETON: VIA BRANCH,0.705
8,568,14:57:49,14:57:49,MIDDLETON: VIA BRANCH,0.9959
9,670,14:58:33,14:58:33,MIDDLETON: VIA BRANCH,1.0867
10,100,15:00:00,15:00:00,MIDDLETON: VIA BRANCH,1.2564
11,234,15:00:26,15:00:26,MIDDLETON: VIA BRANCH,1.3831
12,178,15:00:59,15:00:59,MIDDLETON: VIA BRANCH,1.5423
13,160,15:01:24,15:01:24,MIDDLETON: VIA BRANCH,1.6616
14,2698,15:05:58,15:05:58,MIDDLETON: VIA BRANCH,2.9537
15,2270,15:06:42,15:06:42,MIDDLETON: VIA BRANCH,3.1635
16,2200,15:09:02,15:09:02,MIDDLETON: VIA BRANCH,3.8251
17,2370,15:10:00,15:10:00,MIDDLETON: VIA BRANCH,4.0768
18,2790,15:11:57,15:11:57,MIDDLETON: VIA BRANCH,4.6622
19,2867,15:12:31,15:12:31,MIDDLETON: VIA BRANCH,4.8352
20,2193,15:13:08,15:13:08,MIDDLETON: VIA BRANCH,5.0215
21,2197,15:13:46,15:13:46,MIDDLETON: VIA BRANCH,5.2133
22,6243,15:14:26,15:14:26,MIDDLETON: VIA BRANCH,5.4153
23,6569,15:15:39,15:15:39,MIDDLETON: VIA BRANCH,5.7829
24,6698,15:16:27,15:16:27,MIDDLETON: VIA BRANCH,6.0223
25,6147,15:17:07,15:17:07,MIDDLETON: VIA BRANCH,6.2222
26,6335,15:17:53,15:17:53,MIDDLETON: VIA BRANCH,6.4534
27,6395,15:18:35,15:18:35,MIDDLETON: VIA BRANCH,6.6634
28,6625,15:19:00,15:19:00,MIDDLETON: VIA BRANCH,6.7659
29,6177,15:19:43,15:19:43,MIDDLETON: VIA BRANCH,6.9495
30,6803,15:20:22,15:20:22,MIDDLETON: VIA BRANCH,7.1159
31,6489,15:20:49,15:20:49,MIDDLETON: VIA BRANCH,7.2311
32,6167,15:21:37,15:21:37,MIDDLETON: VIA BRANCH,7.436
33,6651,15:22:28,15:22:28,MIDDLETON: VIA BRANCH,7.653
34,6653,15:23:32,15:23:32,MIDDLETON: VIA BRANCH,7.9222
35,6901,15:24:48,15:24:48,MIDDLETON: VIA BRANCH,8.2413
36,6878,15:26:00,15:26:00,MIDDLETON: VIA BRANCH,8.5291
37,6110,15:26:32,15:26:32,MIDDLETON: VIA BRANCH,8.7038
38,6560,15:26:59,15:26:59,MIDDLETON: VIA BRANCH,8.8547
39,6582,15:28:01,15:28:01,MIDDLETON: VIA BRANCH,9.1938
40,6120,15:28:45,15:28:45,MIDDLETON: VIA BRANCH,9.4357
41,6676,15:29:20,15:29:20,MIDDLETON: VIA BRANCH,9.6248
42,6628,15:30:14,15:30:14,MIDDLETON: VIA BRANCH,9.9178
43,6288,15:31:13,15:31:13,MIDDLETON: VIA BRANCH,10.2363
44,6388,15:31:54,15:31:54,MIDDLETON: VIA BRANCH,10.4578
45,6758,15:33:00,15:33:00,MIDDLETON: VIA BRANCH,10.7962
46,6157,15:34:40,15:34:40,MIDDLETON: VIA BRANCH,11.1454
47,6929,15:35:40,15:35:40,MIDDLETON: VIA BRANCH,11.3556
48,6146,15:36:41,15:36:41,MIDDLETON: VIA BRANCH,11.5701
49,6856,15:37:42,15:37:42,MIDDLETON: VIA BRANCH,11.7818
50,6208,15:38:20,15:38:20,MIDDLETON: VIA BRANCH,11.9167
51,6458,15:38:52,15:38:52,MIDDLETON: VIA BRANCH,12.0305
52,6805,15:40:12,15:40:12,MIDDLETON: VIA BRANCH,12.3078
53,6683,15:41:04,15:41:04,MIDDLETON: VIA BRANCH,12.4893
54,6798,15:42:00,15:42:00,MIDDLETON: VIA BRANCH,12.6646
55,6924,15:42:57,15:42:57,MIDDLETON: VIA BRANCH,12.969000000000001
56,6470,15:43:28,15:43:28,MIDDLETON: VIA BRANCH,13.1328
57,6656,15:44:07,15:44:07,MIDDLETON,13.3414
58,6304,15:44:40,15:44:40,MIDDLETON,13.517999999999999
59,6958,15:45:07,15:45:07,MIDDLETON,13.661
60,6476,15:46:00,15:46:00,DROP OFFS ONLY,13.9288
