stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,6:00:00,6:00:00,MIDDLETON: VIA DEMING,0.0097
2,6296,6:01:06,6:01:06,MIDDLETON: VIA DEMING,0.3337
3,6952,6:01:43,6:01:43,MIDDLETON: VIA DEMING,0.5185
4,6154,6:02:04,6:02:04,MIDDLETON: VIA DEMING,0.6213
5,6188,6:02:38,6:02:38,MIDDLETON: VIA DEMING,0.7893
6,6266,6:03:41,6:03:41,MIDDLETON: VIA DEMING,1.1
7,6382,6:04:42,6:04:42,MIDDLETON: VIA DEMING,1.401
8,6638,6:05:16,6:05:16,MIDDLETON: VIA DEMING,1.5719
9,6422,6:05:59,6:05:59,MIDDLETON: VIA DEMING,1.7835
10,6938,6:07:19,6:07:19,MIDDLETON: VIA DEMING,2.1777
11,6464,6:08:01,6:08:01,MIDDLETON: VIA DEMING,2.3871
12,6720,6:08:34,6:08:34,MIDDLETON: VIA DEMING,2.5508
13,6204,6:09:06,6:09:06,MIDDLETON: VIA DEMING,2.7108
14,6630,6:10:00,6:10:00,MIDDLETON: VIA DEMING,2.9435
15,6504,6:10:42,6:10:42,MIDDLETON: VIA DEMING,3.1534
16,6842,6:11:13,6:11:13,MIDDLETON: VIA DEMING,3.3085
17,6455,6:12:00,6:12:00,MIDDLETON: VIA DEMING,3.5441
18,6923,6:13:08,6:13:08,MIDDLETON: VIA DEMING,3.8822
19,6457,6:13:56,6:13:56,MIDDLETON: VIA DEMING,4.1255
20,6925,6:14:15,6:14:15,MIDDLETON: VIA DEMING,4.2237
21,6551,6:14:39,6:14:39,MIDDLETON: VIA DEMING,4.3431
22,6279,6:15:21,6:15:21,MIDDLETON: VIA DEMING,4.5541
23,6365,6:16:00,6:16:00,MIDDLETON: VIA DEMING,4.7316
24,6605,6:16:21,6:16:21,MIDDLETON: VIA DEMING,4.8652
25,6700,6:16:39,6:16:39,MIDDLETON: VIA DEMING,4.9794
26,6342,6:17:09,6:17:09,MIDDLETON: VIA DEMING,5.1739
27,6867,6:17:23,6:17:23,MIDDLETON: VIA DEMING,5.2672
28,6427,6:17:49,6:17:49,MIDDLETON: VIA DEMING,5.4341
29,6511,6:18:15,6:18:15,MIDDLETON: VIA DEMING,5.6029
30,6633,6:19:00,6:19:00,MIDDLETON: VIA DEMING,5.8626
31,6750,6:20:00,6:20:00,MIDDLETON: VIA DEMING,6.1139
32,6141,6:20:25,6:20:25,MIDDLETON: VIA DEMING,6.2209
33,6355,6:20:57,6:20:57,MIDDLETON: VIA DEMING,6.3564
34,6889,6:21:48,6:21:48,MIDDLETON: VIA DEMING,6.5711
35,6733,6:22:26,6:22:26,MIDDLETON: VIA DEMING,6.7324
36,6667,6:23:00,6:23:00,DROP OFFS ONLY,6.8648
