stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6100,12:00:00,12:00:00,MIDDLETON: VIA FOURIER,0.0097
2,6296,12:01:06,12:01:06,MIDDLETON: VIA FOURIER,0.3337
3,6952,12:01:43,12:01:43,MIDDLETON: VIA FOURIER,0.5185
4,6154,12:02:04,12:02:04,MIDDLETON: VIA FOURIER,0.6213
5,6188,12:02:38,12:02:38,MIDDLETON: VIA FOURIER,0.7893
6,6266,12:03:41,12:03:41,MIDDLETON: VIA FOURIER,1.1
7,6382,12:04:42,12:04:42,MIDDLETON: VIA FOURIER,1.401
8,6638,12:05:16,12:05:16,MIDDLETON: VIA FOURIER,1.5719
9,6422,12:05:59,12:05:59,MIDDLETON: VIA FOURIER,1.7835
10,6938,12:07:19,12:07:19,MIDDLETON: VIA FOURIER,2.1777
11,6464,12:08:01,12:08:01,MIDDLETON: VIA FOURIER,2.3871
12,6720,12:08:34,12:08:34,MIDDLETON: VIA FOURIER,2.5508
13,6204,12:09:06,12:09:06,MIDDLETON: VIA FOURIER,2.7108
14,6630,12:10:00,12:10:00,MIDDLETON: VIA FOURIER,2.9435
15,6504,12:10:42,12:10:42,MIDDLETON: VIA FOURIER,3.1534
16,6842,12:11:13,12:11:13,MIDDLETON: VIA FOURIER,3.3085
17,6455,12:12:00,12:12:00,MIDDLETON: VIA FOURIER,3.5441
18,6923,12:13:08,12:13:08,MIDDLETON: VIA FOURIER,3.8822
19,6457,12:13:56,12:13:56,MIDDLETON: VIA FOURIER,4.1255
20,6925,12:14:15,12:14:15,MIDDLETON: VIA FOURIER,4.2237
21,6551,12:14:39,12:14:39,MIDDLETON: VIA FOURIER,4.3431
22,6279,12:15:21,12:15:21,MIDDLETON: VIA FOURIER,4.5541
23,6365,12:16:00,12:16:00,MIDDLETON: VIA FOURIER,4.7316
24,6605,12:16:28,12:16:28,MIDDLETON: VIA FOURIER,4.8652
25,6527,12:17:14,12:17:14,MIDDLETON: VIA FOURIER,5.081
26,6165,12:17:50,12:17:50,MIDDLETON: VIA FOURIER,5.2486
27,6823,12:18:26,12:18:26,MIDDLETON: VIA FOURIER,5.4177
28,6689,12:19:00,12:19:00,MIDDLETON: VIA FOURIER,5.5638
29,6931,12:19:36,12:19:36,MIDDLETON: VIA FOURIER,5.7344
30,6981,12:20:15,12:20:15,MIDDLETON: VIA FOURIER,5.9166
31,6519,12:20:47,12:20:47,MIDDLETON: VIA FOURIER,6.0683
32,6811,12:21:25,12:21:25,MIDDLETON: VIA FOURIER,6.2455
33,6667,12:22:00,12:22:00,DROP OFFS ONLY,6.3978
