stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,6840,5:36:00,5:36:00,WEST TRANSFER,0.008
2,6430,5:36:40,5:36:40,WEST TRANSFER,0.23600000000000002
3,6818,5:37:06,5:37:06,WEST TRANSFER,0.3883
4,6800,5:37:41,5:37:41,WEST TRANSFER,0.5905
5,6368,5:38:00,5:38:00,WEST TRANSFER,0.7002
6,6860,5:38:19,5:38:19,WEST TRANSFER,0.8086
7,6748,5:38:52,5:38:52,WEST TRANSFER,0.9991
8,6863,5:40:08,5:40:08,WEST TRANSFER,1.4329
9,6193,5:40:49,5:40:49,WEST TRANSFER,1.6694
10,6237,5:41:09,5:41:09,WEST TRANSFER,1.7861
11,6105,5:42:00,5:42:00,WEST TRANSFER,2.0483
12,6123,5:42:46,5:42:46,WEST TRANSFER,2.2687
13,6979,5:43:14,5:43:14,WEST TRANSFER,2.4027
14,6199,5:43:54,5:43:54,WEST TRANSFER,2.5965
15,6269,5:44:40,5:44:40,WEST TRANSFER,2.8193
16,6685,5:46:13,5:46:13,WEST TRANSFER,3.2645
17,6357,5:46:39,5:46:39,WEST TRANSFER,3.3919
18,6223,5:47:22,5:47:22,WEST TRANSFER,3.6024
19,6241,5:48:12,5:48:12,WEST TRANSFER,3.8446
20,6169,5:49:16,5:49:16,WEST TRANSFER,4.1554
21,6319,5:49:47,5:49:47,WEST TRANSFER,4.3064
22,6265,5:50:19,5:50:19,WEST TRANSFER,4.4629
23,6423,5:50:39,5:50:39,WEST TRANSFER,4.5619
24,6100,5:52:00,5:52:00,DROP OFFS ONLY,4.9188
