stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,4401,7:00:00,7:00:00,CAPITOL SQUARE: VIA VERONA,0.021
2,4555,7:02:58,7:02:58,CAPITOL SQUARE: VIA VERONA,1.2481
3,4519,7:03:48,7:03:48,CAPITOL SQUARE: VIA VERONA,1.5941
4,4905,7:04:27,7:04:27,CAPITOL SQUARE: VIA VERONA,1.8649
5,4261,7:05:24,7:05:24,CAPITOL SQUARE: VIA VERONA,2.2589
6,4623,7:06:17,7:06:17,CAPITOL SQUARE: VIA VERONA,2.6255
7,4889,7:07:12,7:07:12,CAPITOL SQUARE: VIA VERONA,3.0060000000000002
8,4457,7:08:00,7:08:00,CAPITOL SQUARE: VIA VERONA,3.3196
9,4755,7:13:22,7:13:22,CAPITOL SQUARE: VIA VERONA,6.2894
10,4963,7:16:36,7:16:36,CAPITOL SQUARE: VIA VERONA,8.078
11,4707,7:18:00,7:18:00,CAPITOL SQUARE: VIA VERONA,8.8461
12,499,7:22:00,7:22:00,CAPITOL SQUARE: VIA VERONA,10.3994
13,251,7:27:00,7:27:00,CAPITOL SQUARE: VIA VERONA,11.9643
14,469,7:30:48,7:30:48,CAPITOL SQUARE: VIA VERONA,12.6224
15,967,7:31:37,7:31:37,CAPITOL SQUARE: VIA VERONA,12.764000000000001
16,473,7:32:20,7:32:20,CAPITOL SQUARE: VIA VERONA,12.8905
17,989,7:33:03,7:33:03,CAPITOL SQUARE: VIA VERONA,13.0157
18,235,7:33:36,7:33:36,CAPITOL SQUARE: VIA VERONA,13.1119
19,1163,7:34:17,7:34:17,CAPITOL SQUARE: VIA VERONA,13.2319
20,1101,7:35:00,7:35:00,CAPITOL SQUARE: VIA VERONA,13.3451
21,1787,7:36:00,7:36:00,DROP OFFS ONLY,13.499
