stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,1101,6:55:00,6:55:00,SPRING HARBOR,0.0227
2,1787,6:55:59,6:55:59,SPRING HARBOR,0.1766
3,1100,6:56:58,6:56:58,SPRING HARBOR,0.3287
4,1310,6:57:39,6:57:39,SPRING HARBOR,0.4355
5,1558,6:58:15,6:58:15,SPRING HARBOR,0.5304
6,898,6:58:49,6:58:49,SPRING HARBOR,0.618
7,252,6:59:22,6:59:22,SPRING HARBOR,0.705
8,568,7:01:15,7:01:15,SPRING HARBOR,0.9959
9,670,7:01:50,7:01:50,SPRING HARBOR,1.0867
10,100,7:03:00,7:03:00,SPRING HARBOR,1.2564
11,234,7:03:25,7:03:25,SPRING HARBOR,1.3831
12,178,7:03:56,7:03:56,SPRING HARBOR,1.5423
13,160,7:04:19,7:04:19,SPRING HARBOR,1.6616
14,2494,7:09:00,7:09:00,SPRING HARBOR,3.0595
15,2998,7:09:35,7:09:35,SPRING HARBOR,3.2459
16,2742,7:10:00,7:10:00,SPRING HARBOR,3.3795
17,2264,7:10:30,7:10:30,SPRING HARBOR,3.5410000000000004
18,2206,7:10:52,7:10:52,SPRING HARBOR,3.6573
19,2204,7:11:11,7:11:11,SPRING HARBOR,3.7611
20,2762,7:11:39,7:11:39,SPRING HARBOR,3.9112
21,2532,7:12:08,7:12:08,SPRING HARBOR,4.0680000000000005
22,2562,7:12:31,7:12:31,SPRING HARBOR,4.1941
23,2219,7:12:50,7:12:50,SPRING HARBOR,4.2953
24,2199,7:13:19,7:13:19,SPRING HARBOR,4.4533
25,2184,7:13:52,7:13:52,SPRING HARBOR,4.6297
26,2100,7:14:17,7:14:17,SPRING HARBOR,4.7636
27,2376,7:15:00,7:15:00,SPRING HARBOR,4.9613
28,2282,7:15:36,7:15:36,SPRING HARBOR,5.1468
29,2220,7:15:56,7:15:56,SPRING HARBOR,5.2518
30,2236,7:16:54,7:16:54,SPRING HARBOR,5.5507
31,2718,7:17:34,7:17:34,SPRING HARBOR,5.7578
32,2747,7:17:55,7:17:55,SPRING HARBOR,5.8702
33,2235,7:18:15,7:18:15,SPRING HARBOR,5.9769
34,2345,7:18:41,7:18:41,SPRING HARBOR,6.1106
35,2391,7:19:08,7:19:08,SPRING HARBOR,6.252000000000001
36,2355,7:19:30,7:19:30,SPRING HARBOR,6.3672
37,2259,7:19:51,7:19:51,SPRING HARBOR,6.4776
38,2165,7:20:12,7:20:12,SPRING HARBOR,6.5853
39,2892,7:21:00,7:21:00,DROP OFFS ONLY,6.8077
