stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,99,18:35:00,18:35:00,MEMORIAL UNION: VIA JOHNSON: VIA WASHINGTON,0.0224
2,25,18:36:00,18:36:00,MEMORIAL UNION: VIA JOHNSON: VIA WASHINGTON,0.1853
3,89,18:37:38,18:37:38,MEMORIAL UNION: VIA JOHNSON: VIA WASHINGTON,0.4522
4,45,18:38:38,18:38:38,MEMORIAL UNION: VIA JOHNSON: VIA WASHINGTON,0.6153
5,96,18:39:29,18:39:29,MEMORIAL UNION: VIA JOHNSON: VIA WASHINGTON,0.7552
6,1227,18:41:17,18:41:17,MEMORIAL UNION: VIA JOHNSON: VIA WASHINGTON,1.0497
7,1593,18:42:00,18:42:00,MEMORIAL UNION: VIA JOHNSON: VIA WASHINGTON,1.1578
8,752,18:42:54,18:42:54,MEMORIAL UNION: VIA WASHINGTON,1.2993
9,914,18:44:27,18:44:27,MEMORIAL UNION: VIA WASHINGTON,1.5428
10,480,18:45:46,18:45:46,MEMORIAL UNION: VIA WASHINGTON,1.7484
11,688,18:46:27,18:46:27,MEMORIAL UNION: VIA WASHINGTON,1.8572
12,506,18:47:16,18:47:16,MEMORIAL UNION: VIA WASHINGTON,1.9846
13,926,18:48:22,18:48:22,MEMORIAL UNION: VIA WASHINGTON,2.1581
14,68,18:49:04,18:49:04,MEMORIAL UNION: VIA WASHINGTON,2.2682
15,853,18:50:15,18:50:15,MEMORIAL UNION: VIA WASHINGTON,2.4553
16,558,18:51:13,18:51:13,MEMORIAL UNION: VIA WASHINGTON,2.6082
17,967,18:52:00,18:52:00,MEMORIAL UNION: VIA WASHINGTON,2.718
18,710,18:52:48,18:52:48,MEMORIAL UNION,2.8433
19,520,18:53:33,18:53:33,MEMORIAL UNION,2.9589
20,313,18:54:18,18:54:18,MEMORIAL UNION,3.0765
21,161,18:55:18,18:55:18,MEMORIAL UNION,3.2315
22,965,18:56:02,18:56:02,MEMORIAL UNION,3.3466
23,593,18:57:09,18:57:09,MEMORIAL UNION,3.5195
24,87,18:57:46,18:57:46,MEMORIAL UNION,3.6154
25,568,18:59:11,18:59:11,MEMORIAL UNION,3.8354
26,670,18:59:46,18:59:46,MEMORIAL UNION,3.9261
27,795,19:01:12,19:01:12,MEMORIAL UNION,4.1492
28,99,19:02:00,19:02:00,DROP OFFS ONLY,4.2574
