stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,10,18:50:00,18:50:00,MEMORIAL UNION: VIA OBSERVATORY: VIA BREESE,0.069
2,60,18:51:26,18:51:26,MEMORIAL UNION: VIA OBSERVATORY: VIA BREESE,0.3244
3,52,18:52:02,18:52:02,MEMORIAL UNION: VIA OBSERVATORY: VIA BREESE,0.4311
4,56,18:52:29,18:52:29,MEMORIAL UNION: VIA OBSERVATORY: VIA BREESE,0.5111
5,2996,18:54:12,18:54:12,MEMORIAL UNION: VIA OBSERVATORY: VIA BREESE,0.8156
6,2978,18:55:06,18:55:06,MEMORIAL UNION: VIA OBSERVATORY: VIA BREESE,0.9778
7,2442,18:55:57,18:55:57,MEMORIAL UNION: VIA OBSERVATORY: VIA BREESE,1.1294
8,2094,18:58:00,18:58:00,MEMORIAL UNION: VIA BREESE,1.4875
9,2502,18:58:48,18:58:48,MEMORIAL UNION: VIA BREESE,1.6143
10,2605,18:59:48,18:59:48,MEMORIAL UNION: VIA BREESE,1.7711
11,2717,19:00:57,19:00:57,MEMORIAL UNION: VIA BREESE,1.9507
12,2921,19:02:10,19:02:10,MEMORIAL UNION: VIA BREESE,2.1424
13,542,19:03:26,19:03:26,MEMORIAL UNION: VIA BREESE,2.342
14,454,19:04:38,19:04:38,MEMORIAL UNION: VIA BREESE,2.529
15,533,19:06:00,19:06:00,MEMORIAL UNION: VIA BREESE,2.7328
16,971,19:07:25,19:07:25,MEMORIAL UNION,2.9492
17,585,19:08:09,19:08:09,MEMORIAL UNION,3.0610000000000004
18,327,19:09:14,19:09:14,MEMORIAL UNION,3.2257
19,115,19:10:18,19:10:18,MEMORIAL UNION,3.3892
20,483,19:10:53,19:10:53,MEMORIAL UNION,3.478
21,75,19:11:55,19:11:55,MEMORIAL UNION,3.6341
22,43,19:12:37,19:12:37,MEMORIAL UNION,3.7416
23,39,19:13:11,19:13:11,MEMORIAL UNION,3.8286
24,765,19:13:43,19:13:43,MEMORIAL UNION,3.9101
25,49,19:14:50,19:14:50,MEMORIAL UNION,4.081
26,10,19:16:00,19:16:00,DROP OFFS ONLY,4.2426
