stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,10,25:15:00,25:15:00,TO U.W. HOSPITAL: VIA EAGLE HTS,0.0081
2,60,25:16:13,25:16:13,TO U.W. HOSPITAL: VIA EAGLE HTS,0.2635
3,52,25:16:43,25:16:43,TO U.W. HOSPITAL: VIA EAGLE HTS,0.3702
4,488,25:17:22,25:17:22,TO U.W. HOSPITAL: VIA EAGLE HTS,0.5053
5,184,25:18:06,25:18:06,TO U.W. HOSPITAL: VIA EAGLE HTS,0.6601
6,532,25:18:37,25:18:37,TO U.W. HOSPITAL: VIA EAGLE HTS,0.7676
7,2996,25:19:10,25:19:10,TO U.W. HOSPITAL: VIA EAGLE HTS,0.8845
8,2978,25:20:00,25:20:00,TO U.W. HOSPITAL: VIA EAGLE HTS,1.0467
9,2442,25:20:35,25:20:35,TO U.W. HOSPITAL: VIA EAGLE HTS,1.1983
10,2088,25:21:54,25:21:54,TO U.W. HOSPITAL: VIA EAGLE HTS,1.5375
11,2125,25:22:37,25:22:37,TO U.W. HOSPITAL: VIA EAGLE HTS,1.7236
12,2023,25:23:17,25:23:17,TO U.W. HOSPITAL: VIA EAGLE HTS,1.8941
13,2027,25:24:00,25:24:00,TO U.W. HOSPITAL: VIA EAGLE HTS,2.0662
14,2938,25:25:09,25:25:09,TO U.W. HOSPITAL: VIA EAGLE HTS,2.3378
15,2041,25:26:21,25:26:21,TO U.W. HOSPITAL: VIA EAGLE HTS,2.6184
16,2018,25:27:13,25:27:13,TO U.W. HOSPITAL: VIA EAGLE HTS,2.8219
17,2026,25:27:34,25:27:34,TO U.W. HOSPITAL: VIA EAGLE HTS,2.906
18,2082,25:28:00,25:28:00,TO U.W. HOSPITAL: VIA EAGLE HTS,3.0008
19,2054,25:28:28,25:28:28,TO U.W. HOSPITAL: VIA EAGLE HTS,3.1775
20,2039,25:29:18,25:29:18,TO U.W. HOSPITAL: VIA EAGLE HTS,3.4911
21,2061,25:29:28,25:29:28,TO U.W. HOSPITAL: VIA EAGLE HTS,3.5595
22,2071,25:29:42,25:29:42,TO U.W. HOSPITAL: VIA EAGLE HTS,3.6493
23,2014,25:30:11,25:30:11,TO U.W. HOSPITAL: VIA EAGLE HTS,3.8338
24,2034,25:30:42,25:30:42,TO U.W. HOSPITAL,4.0277
25,2048,25:31:04,25:31:04,TO U.W. HOSPITAL,4.1706
26,2881,25:31:48,25:31:48,TO U.W. HOSPITAL,4.4487
27,2050,25:32:26,25:32:26,DROP OFFS ONLY,4.6886
28,2076,25:33:00,25:33:00,DROP OFFS ONLY,4.8744
