stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,10,17:18:00,17:18:00,TO U.W. HOSPITAL: VIA EAGLE HTS,0.0081
2,60,17:19:43,17:19:43,TO U.W. HOSPITAL: VIA EAGLE HTS,0.2635
3,52,17:20:26,17:20:26,TO U.W. HOSPITAL: VIA EAGLE HTS,0.3702
4,488,17:21:20,17:21:20,TO U.W. HOSPITAL: VIA EAGLE HTS,0.5053
5,184,17:22:22,17:22:22,TO U.W. HOSPITAL: VIA EAGLE HTS,0.6601
6,532,17:23:05,17:23:05,TO U.W. HOSPITAL: VIA EAGLE HTS,0.7676
7,2996,17:23:52,17:23:52,TO U.W. HOSPITAL: VIA EAGLE HTS,0.8845
8,2978,17:25:00,17:25:00,TO U.W. HOSPITAL: VIA EAGLE HTS,1.0467
9,2442,17:25:44,17:25:44,TO U.W. HOSPITAL: VIA EAGLE HTS,1.1983
10,2088,17:27:23,17:27:23,TO U.W. HOSPITAL: VIA EAGLE HTS,1.5375
11,2125,17:28:17,17:28:17,TO U.W. HOSPITAL: VIA EAGLE HTS,1.7236
12,2023,17:29:07,17:29:07,TO U.W. HOSPITAL: VIA EAGLE HTS,1.8941
13,2027,17:30:00,17:30:00,TO U.W. HOSPITAL: VIA EAGLE HTS,2.0662
14,2938,17:30:52,17:30:52,TO U.W. HOSPITAL: VIA EAGLE HTS,2.3378
15,2041,17:31:46,17:31:46,TO U.W. HOSPITAL: VIA EAGLE HTS,2.6184
16,2018,17:32:25,17:32:25,TO U.W. HOSPITAL: VIA EAGLE HTS,2.8219
17,2026,17:32:41,17:32:41,TO U.W. HOSPITAL: VIA EAGLE HTS,2.906
18,2082,17:33:00,17:33:00,TO U.W. HOSPITAL: VIA EAGLE HTS,3.0008
19,2054,17:33:39,17:33:39,TO U.W. HOSPITAL: VIA EAGLE HTS,3.1775
20,2039,17:34:49,17:34:49,TO U.W. HOSPITAL: VIA EAGLE HTS,3.4911
21,2061,17:35:04,17:35:04,TO U.W. HOSPITAL: VIA EAGLE HTS,3.5595
22,2071,17:35:24,17:35:24,TO U.W. HOSPITAL: VIA EAGLE HTS,3.6493
23,2014,17:36:05,17:36:05,TO U.W. HOSPITAL: VIA EAGLE HTS,3.8338
24,2034,17:36:48,17:36:48,TO U.W. HOSPITAL,4.0277
25,2048,17:37:20,17:37:20,TO U.W. HOSPITAL,4.1706
26,2881,17:38:22,17:38:22,TO U.W. HOSPITAL,4.4487
27,2050,17:39:15,17:39:15,DROP OFFS ONLY,4.6886
28,2076,17:40:00,17:40:00,DROP OFFS ONLY,4.8744
