stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,shape_dist_traveled
1,10,18:11:00,18:11:00,MEMORIAL UNION: VIA EAGLE HTS,0.0081
2,60,18:12:43,18:12:43,MEMORIAL UNION: VIA EAGLE HTS,0.2635
3,52,18:13:26,18:13:26,MEMORIAL UNION: VIA EAGLE HTS,0.3702
4,488,18:14:20,18:14:20,MEMORIAL UNION: VIA EAGLE HTS,0.5053
5,184,18:15:22,18:15:22,MEMORIAL UNION: VIA EAGLE HTS,0.6601
6,532,18:16:05,18:16:05,MEMORIAL UNION: VIA EAGLE HTS,0.7676
7,2996,18:16:52,18:16:52,MEMORIAL UNION: VIA EAGLE HTS,0.8845
8,2978,18:18:00,18:18:00,MEMORIAL UNION: VIA EAGLE HTS,1.0467
9,2442,18:18:44,18:18:44,MEMORIAL UNION: VIA EAGLE HTS,1.1983
10,2088,18:20:23,18:20:23,MEMORIAL UNION: VIA EAGLE HTS,1.5375
11,2125,18:21:17,18:21:17,MEMORIAL UNION: VIA EAGLE HTS,1.7236
12,2023,18:22:07,18:22:07,MEMORIAL UNION: VIA EAGLE HTS,1.8941
13,2027,18:23:00,18:23:00,MEMORIAL UNION: VIA EAGLE HTS,2.0662
14,2938,18:23:52,18:23:52,MEMORIAL UNION: VIA EAGLE HTS,2.3378
15,2041,18:24:46,18:24:46,MEMORIAL UNION: VIA EAGLE HTS,2.6184
16,2018,18:25:25,18:25:25,MEMORIAL UNION: VIA EAGLE HTS,2.8219
17,2026,18:25:41,18:25:41,MEMORIAL UNION: VIA EAGLE HTS,2.906
18,2082,18:26:00,18:26:00,MEMORIAL UNION: VIA EAGLE HTS,3.0008
19,2054,18:26:39,18:26:39,MEMORIAL UNION: VIA EAGLE HTS,3.1775
20,2039,18:27:49,18:27:49,MEMORIAL UNION: VIA EAGLE HTS,3.4911
21,2061,18:28:04,18:28:04,MEMORIAL UNION: VIA EAGLE HTS,3.5595
22,2071,18:28:24,18:28:24,MEMORIAL UNION: VIA EAGLE HTS,3.6493
23,2014,18:29:05,18:29:05,MEMORIAL UNION: VIA EAGLE HTS,3.8338
24,2034,18:29:48,18:29:48,MEMORIAL UNION,4.0277
25,2048,18:30:20,18:30:20,MEMORIAL UNION,4.1706
26,2881,18:31:22,18:31:22,MEMORIAL UNION,4.4487
27,2050,18:32:15,18:32:15,MEMORIAL UNION,4.6886
28,2076,18:33:00,18:33:00,MEMORIAL UNION,4.8744
29,2349,18:33:34,18:33:34,MEMORIAL UNION,4.9771
30,2091,18:34:21,18:34:21,MEMORIAL UNION,5.1194
31,2007,18:35:38,18:35:38,MEMORIAL UNION,5.3502
32,2267,18:36:52,18:36:52,MEMORIAL UNION,5.5727
33,2195,18:38:00,18:38:00,MEMORIAL UNION,5.766
34,2145,18:39:00,18:39:00,MEMORIAL UNION,5.9282
35,298,18:39:33,18:39:33,MEMORIAL UNION,6.0164
36,573,18:40:22,18:40:22,MEMORIAL UNION,6.1476
37,438,18:41:36,18:41:36,MEMORIAL UNION,6.3452
38,706,18:42:13,18:42:13,MEMORIAL UNION,6.4459
39,336,18:44:00,18:44:00,MEMORIAL UNION,6.7234
40,5,18:45:02,18:45:02,MEMORIAL UNION,6.8912
41,61,18:46:03,18:46:03,MEMORIAL UNION,7.0566
42,75,18:47:12,18:47:12,MEMORIAL UNION,7.2418
43,43,18:47:52,18:47:52,MEMORIAL UNION,7.3493
44,39,18:48:24,18:48:24,MEMORIAL UNION,7.4363
45,765,18:48:54,18:48:54,MEMORIAL UNION,7.5177
46,49,18:49:57,18:49:57,MEMORIAL UNION,7.6887
47,10,18:51:00,18:51:00,DROP OFFS ONLY,7.8504
